"","cafe"
"bar",0.17
"coffee",0.17
"restaurant",0.17
"st",0.16
"street",0.16
"food",0.14
"lunch",0.14
"shop",0.14
"ave",0.13
"bakery",0.13
"menu",0.13
"phone",0.13
"breakfast",0.12
"house",0.12
"internet",0.12
"pizza",0.12
"pub",0.12
"sandwiches",0.12
"serves",0.12
"club",0.11
"cuisine",0.11
"dining",0.11
"free",0.11
"great",0.11
"live",0.11
"music",0.11
"open",0.11
"rd",0.11
"selection",0.11
"vegetarian",0.11
"atmosphere",0.1
"bistro",0.1
"deli",0.1
"dinner",0.1
"floor",0.1
"friendly",0.1
"grill",0.1
"inn",0.1
"salads",0.1
"saturday",0.1
"serving",0.1
"store",0.1
"art",0.09
"cafe'''",0.09
"corner",0.09
"downtown",0.09
"excellent",0.09
"fresh",0.09
"friday",0.09
"gourmet",0.09
"homemade",0.09
"kitchen",0.09
"lounge",0.09
"mexican",0.09
"nights",0.09
"seating",0.09
"tasty",0.09
"arts",0.08
"authentic",0.08
"avenue",0.08
"blvd",0.08
"bookstore",0.08
"building",0.08
"cafes",0.08
"casual",0.08
"cream",0.08
"delicious",0.08
"drinks",0.08
"espresso",0.08
"fun",0.08
"gallery",0.08
"garden",0.08
"good",0.08
"indoor",0.08
"italian",0.08
"next",0.08
"night",0.08
"offering",0.08
"organic",0.08
"outdoor",0.08
"owned",0.08
"pies",0.08
"place",0.08
"priced",0.08
"room",0.08
"specials",0.08
"staff",0.08
"steakhouse",0.08
"style",0.08
"tavern",0.08
"upstairs",0.08
"walk",0.08
"american",0.07
"beer",0.07
"beers",0.07
"boutique",0.07
"breakfasts",0.07
"burgers",0.07
"closed",0.07
"cozy",0.07
"decor",0.07
"diner",0.07
"eclectic",0.07
"features",0.07
"full",0.07
"karaoke",0.07
"market",0.07
"offers",0.07
"sit",0.07
"soups",0.07
"su",0.07
"sunday",0.07
"variety",0.07
"views",0.07
