"","local"
"food",0.14
"locals",0.14
"fresh",0.13
"available",0.11
"good",0.11
"locally",0.11
"made",0.11
"try",0.11
"usually",0.11
"ask",0.1
"buy",0.1
"can",0.1
"drink",0.1
"find",0.1
"friendly",0.1
"make",0.1
"may",0.1
"produce",0.1
"well",0.1
"will",0.1
"also",0.09
"always",0.09
"around",0.09
"beer",0.09
"bus",0.09
"code",0.09
"drinks",0.09
"every",0.09
"excellent",0.09
"fish",0.09
"many",0.09
"music",0.09
"offer",0.09
"often",0.09
"prices",0.09
"run",0.09
"selection",0.09
"selling",0.09
"shops",0.09
"still",0.09
"use",0.09
"variety",0.09
"wine",0.09
"bars",0.08
"best",0.08
"businesses",0.08
"cheap",0.08
"check",0.08
"consist",0.08
"cuisine",0.08
"delicious",0.08
"dishes",0.08
"display",0.08
"english",0.08
"especially",0.08
"even",0.08
"great",0.08
"held",0.08
"including",0.08
"little",0.08
"live",0.08
"market",0.08
"menu",0.08
"need",0.08
"night",0.08
"number",0.08
"pick",0.08
"popular",0.08
"prepared",0.08
"sell",0.08
"serve",0.08
"service",0.08
"services",0.08
"serving",0.08
"shop",0.08
"signage",0.08
"taxi",0.08
"telephone",0.08
"tourist",0.08
"visit",0.08
"wide",0.08
"worth",0.08
"buses",0.07
"coffee",0.07
"day",0.07
"found",0.07
"free",0.07
"fruit",0.07
"get",0.07
"guide",0.07
"include",0.07
"like",0.07
"markets",0.07
"might",0.07
"much",0.07
"note",0.07
"numbers",0.07
"organic",0.07
"people",0.07
"place",0.07
"price",0.07
"produced",0.07
"provide",0.07
"reasonable",0.07
"served",0.07
"serves",0.07
"take",0.07
"taxis",0.07
"throughout",0.07
"trains",0.07
"various",0.07
"walking",0.07
"want",0.07
"work",0.07
