"","used"
"now",0.15
"still",0.14
"building",0.12
"built",0.12
"called",0.12
"often",0.12
"use",0.12
"common",0.11
"especially",0.11
"even",0.11
"may",0.11
"name",0.11
"since",0.11
"usually",0.11
"work",0.11
"century",0.1
"commonly",0.1
"due",0.1
"first",0.1
"generally",0.1
"language",0.1
"later",0.1
"made",0.1
"part",0.1
"people",0.1
"sometimes",0.1
"using",0.1
"almost",0.09
"although",0.09
"another",0.09
"avoid",0.09
"became",0.09
"countries",0.09
"currency",0.09
"different",0.09
"exchange",0.09
"foreign",0.09
"former",0.09
"found",0.09
"houses",0.09
"like",0.09
"make",0.09
"means",0.09
"mostly",0.09
"much",0.09
"must",0.09
"official",0.09
"old",0.09
"parts",0.09
"pay",0.09
"sold",0.09
"time",0.09
"without",0.09
"years",0.09
"also",0.08
"always",0.08
"back",0.08
"book",0.08
"cards",0.08
"certain",0.08
"citizens",0.08
"cultural",0.08
"day",0.08
"dish",0.08
"european",0.08
"form",0.08
"government",0.08
"ground",0.08
"idea",0.08
"important",0.08
"keep",0.08
"known",0.08
"languages",0.08
"last",0.08
"late",0.08
"longer",0.08
"mainly",0.08
"meat",0.08
"might",0.08
"military",0.08
"number",0.08
"order",0.08
"original",0.08
"others",0.08
"outside",0.08
"period",0.08
"police",0.08
"political",0.08
"present",0.08
"rarely",0.08
"remain",0.08
"remains",0.08
"roman",0.08
"rule",0.08
"similar",0.08
"special",0.08
"streets",0.08
"taken",0.08
"therefore",0.08
"though",0.08
"today",0.08
"tourist",0.08
"valid",0.08
"various",0.08
"visa",0.08
"well",0.08
"widely",0.08
"women",0.08
"word",0.08
"world",0.08
"written",0.08
"among",0.07
"areas",0.07
"attention",0.07
"become",0.07
"books",0.07
"british",0.07
"brought",0.07
"cheaper",0.07
"companies",0.07
"currently",0.07
"dates",0.07
"dishes",0.07
"drinking",0.07
"drivers",0.07
"early",0.07
"english",0.07
"example",0.07
"expect",0.07
"given",0.07
"history",0.07
"instead",0.07
"list",0.07
"look",0.07
"middle",0.07
"money",0.07
"mosque",0.07
"moved",0.07
"normal",0.07
"normally",0.07
"note",0.07
"nowadays",0.07
"oldest",0.07
"paid",0.07
"passport",0.07
"price",0.07
"put",0.07
"recent",0.07
"refer",0.07
"replaced",0.07
"require",0.07
"second",0.07
"seen",0.07
"served",0.07
"started",0.07
"structure",0.07
"tower",0.07
"travel",0.07
"war",0.07
