"","calle"
"avenida",0.28
"del",0.23
"parque",0.23
"plaza",0.23
"pesos",0.22
"la",0.21
"de",0.19
"el",0.19
"spanish",0.19
"casa",0.17
"las",0.17
"con",0.15
"los",0.15
"san",0.15
"'''la",0.14
"block",0.14
"blocks",0.14
"'''el",0.13
"av",0.12
"santa",0.12
"spain",0.12
"colonial",0.11
"gran",0.11
"puerto",0.11
"sol",0.11
"terminal",0.11
"juan",0.1
"nacional",0.1
"salsa",0.1
"wifi",0.1
"avenues",0.09
"centro",0.09
"mexico",0.09
"santiago",0.09
"shared",0.09
"'''hotel",0.08
"bars",0.08
"cruz",0.08
"dorm",0.08
"dorms",0.08
"mexican",0.08
"singles",0.08
"sur",0.08
"ask",0.07
"clean",0.07
"corner",0.07
"cost",0.07
"hostel",0.07
"latin",0.07
"leave",0.07
"tapas",0.07
