"","eat"
"drink",0.25
"buy",0.17
"places",0.17
"sleep",0.17
"go",0.16
"get",0.15
"food",0.14
"next",0.13
"can",0.12
"good",0.12
"place",0.12
"see",0.12
"want",0.12
"try",0.11
"understand",0.11
"ask",0.1
"cheap",0.1
"expensive",0.1
"find",0.1
"fried",0.1
"like",0.1
"something",0.1
"usually",0.1
"always",0.09
"around",0.09
"bars",0.09
"best",0.09
"delicious",0.09
"dishes",0.09
"eating",0.09
"fresh",0.09
"friendly",0.09
"know",0.09
"make",0.09
"meal",0.09
"menu",0.09
"nice",0.09
"night",0.09
"people",0.09
"prices",0.09
"restaurant",0.09
"stay",0.09
"sure",0.09
"'s",0.08
"beer",0.08
"better",0.08
"choose",0.08
"drinks",0.08
"enjoy",0.08
"great",0.08
"locals",0.08
"look",0.08
"lunch",0.08
"many",0.08
"meals",0.08
"order",0.08
"pay",0.08
"really",0.08
"sell",0.08
"serve",0.08
"sit",0.08
"spicy",0.08
"sweet",0.08
"talk",0.08
"variety",0.08
"visit",0.08
"will",0.08
"budget",0.07
"cost",0.07
"different",0.07
"dinner",0.07
"looking",0.07
"lot",0.07
"meat",0.07
"offer",0.07
"price",0.07
"raw",0.07
"safe",0.07
"seafood",0.07
"shops",0.07
"things",0.07
"types",0.07
"watch",0.07
