"","altar"
"church",0.15
"baroque",0.14
"catholic",0.14
"gothic",0.14
"frescoes",0.13
"hungarian",0.13
"chapel",0.12
"painting",0.12
"rebuilt",0.12
"cellars",0.11
"erected",0.11
"parish",0.11
"building",0.1
"ceiling",0.1
"christ",0.1
"nicholas",0.1
"basilica",0.09
"begun",0.09
"built",0.09
"decorated",0.09
"exhibition",0.09
"facade",0.09
"figures",0.09
"holy",0.09
"interior",0.09
"lady",0.09
"paintings",0.09
"pension",0.08
"religious",0.08
"century",0.07
"partly",0.07
"roman",0.07
"synagogue",0.07
