"","mexican"
"mexico",0.27
"tacos",0.26
"taco",0.21
"ave",0.18
"restaurant",0.18
"grill",0.17
"inn",0.17
"california",0.16
"american",0.15
"blvd",0.15
"downtown",0.15
"food",0.14
"authentic",0.13
"dr",0.13
"live",0.13
"los",0.13
"st",0.13
"avenue",0.12
"bar",0.12
"phone",0.12
"ranch",0.12
"steakhouse",0.12
"texas",0.12
"dining",0.11
"italian",0.11
"miles",0.11
"pizza",0.11
"plaza",0.11
"state",0.11
"steak",0.11
"sushi",0.11
"favorite",0.1
"featuring",0.1
"federal",0.1
"great",0.1
"highway",0.1
"lunch",0.1
"patio",0.1
"salsa",0.1
"san",0.1
"steaks",0.1
"street",0.1
"suites",0.1
"us",0.1
"block",0.09
"boulevard",0.09
"broadway",0.09
"cafe",0.09
"casual",0.09
"diner",0.09
"dinner",0.09
"el",0.09
"hwy",0.09
"interstate",0.09
"pesos",0.09
"rd",0.09
"sandwiches",0.09
"specials",0.09
"su",0.09
"amtrak",0.08
"baseball",0.08
"blocks",0.08
"burgers",0.08
"calle",0.08
"chain",0.08
"del",0.08
"fe",0.08
"features",0.08
"flavors",0.08
"francisco",0.08
"free",0.08
"las",0.08
"luis",0.08
"menu",0.08
"movie",0.08
"music",0.08
"offers",0.08
"rio",0.08
"rodeo",0.08
"spanish",0.08
"united",0.08
"variety",0.08
"'''el",0.07
"art",0.07
"atmosphere",0.07
"breakfast",0.07
"buffet",0.07
"canyon",0.07
"college",0.07
"cowboy",0.07
"cuisine",0.07
"fun",0.07
"homemade",0.07
"ln",0.07
"loop",0.07
"mall",0.07
"mission",0.07
"motel",0.07
"states",0.07
"upscale",0.07
