"","club"
"golf",0.34
"course",0.21
"bar",0.18
"clubs",0.18
"music",0.15
"tennis",0.15
"country",0.13
"dance",0.13
"lounge",0.13
"par",0.13
"pool",0.13
"restaurant",0.13
"hole",0.12
"night",0.12
"play",0.12
"shopping",0.12
"yacht",0.12
"cafe",0.11
"dining",0.11
"free",0.11
"holes",0.11
"live",0.11
"mall",0.11
"sports",0.11
"st",0.11
"street",0.11
"bowling",0.1
"house",0.1
"indoor",0.1
"offers",0.1
"open",0.1
"opened",0.1
"pub",0.1
"rd",0.1
"saturday",0.1
"bars",0.09
"courses",0.09
"events",0.09
"features",0.09
"fitness",0.09
"food",0.09
"football",0.09
"friday",0.09
"hotel",0.09
"jazz",0.09
"nightclub",0.09
"nights",0.09
"outdoor",0.09
"pizza",0.09
"room",0.09
"selection",0.09
"venue",0.09
"atmosphere",0.08
"ave",0.08
"bands",0.08
"beach",0.08
"beer",0.08
"business",0.08
"children's",0.08
"classic",0.08
"club'''",0.08
"coffee",0.08
"court",0.08
"djs",0.08
"dr",0.08
"drinks",0.08
"every",0.08
"family",0.08
"fun",0.08
"games",0.08
"gym",0.08
"inn",0.08
"internet",0.08
"karaoke",0.08
"kids",0.08
"meeting",0.08
"menu",0.08
"movie",0.08
"park",0.08
"party",0.08
"phone",0.08
"playing",0.08
"plays",0.08
"pubs",0.08
"retail",0.08
"stadium",0.08
"steak",0.08
"students",0.08
"style",0.08
"sunday",0.08
"swimming",0.08
"arts",0.07
"avenue",0.07
"boutique",0.07
"buffet",0.07
"casual",0.07
"centre",0.07
"cinema",0.07
"crowd",0.07
"designed",0.07
"dinner",0.07
"downtown",0.07
"event",0.07
"featuring",0.07
"grill",0.07
"include",0.07
"lunch",0.07
"mix",0.07
"new",0.07
"premier",0.07
"service",0.07
"star",0.07
"suites",0.07
"university",0.07
"upscale",0.07
"yards",0.07
