"","times"
"day",0.14
"buses",0.12
"several",0.12
"three",0.12
"departure",0.11
"ticket",0.11
"tickets",0.11
"week",0.11
"bus",0.1
"daily",0.1
"even",0.1
"may",0.1
"often",0.1
"pay",0.1
"per",0.1
"time",0.1
"usually",0.1
"avoid",0.09
"costs",0.09
"depart",0.09
"depending",0.09
"especially",0.09
"expensive",0.09
"least",0.09
"operates",0.09
"payment",0.09
"price",0.09
"prices",0.09
"run",0.09
"services",0.09
"travel",0.09
"twice",0.09
"advance",0.08
"although",0.08
"aware",0.08
"book",0.08
"cards",0.08
"centre",0.08
"certain",0.08
"change",0.08
"cheaper",0.08
"check",0.08
"cost",0.08
"direct",0.08
"drivers",0.08
"english",0.08
"every",0.08
"expect",0.08
"ferries",0.08
"ferry",0.08
"give",0.08
"hours",0.08
"leave",0.08
"longer",0.08
"note",0.08
"operate",0.08
"plan",0.08
"service",0.08
"single",0.08
"still",0.08
"taxi",0.08
"taxis",0.08
"trains",0.08
"trip",0.08
"two",0.08
"always",0.07
"connection",0.07
"driver",0.07
"due",0.07
"european",0.07
"flights",0.07
"generally",0.07
"hard",0.07
"instead",0.07
"journey",0.07
"leaving",0.07
"need",0.07
"night",0.07
"number",0.07
"outside",0.07
"passengers",0.07
"regular",0.07
"return",0.07
"slightly",0.07
"sometimes",0.07
"start",0.07
"sure",0.07
"takes",0.07
"train",0.07
"use",0.07
"using",0.07
"well",0.07
