"","ferries"
"ferry",0.4
"island",0.26
"islands",0.24
"port",0.2
"mainland",0.19
"island's",0.14
"passenger",0.13
"terminal",0.13
"boats",0.12
"passengers",0.12
"sea",0.12
"beaches",0.11
"catamaran",0.11
"coast",0.11
"dock",0.11
"harbour",0.11
"operate",0.11
"boat",0.1
"greek",0.1
"ports",0.1
"run",0.1
"shipping",0.1
"ships",0.1
"connect",0.09
"departure",0.09
"pier",0.09
"sailing",0.09
"singapore",0.09
"strait",0.09
"twice",0.09
"cars",0.08
"daily",0.08
"departures",0.08
"fast",0.08
"flights",0.08
"frequent",0.08
"island'''",0.08
"isle",0.08
"jetty",0.08
"return",0.08
"sail",0.08
"schedules",0.08
"tickets",0.08
"times",0.08
"-line",0.07
"arriving",0.07
"cruise",0.07
"departing",0.07
"indonesia",0.07
"marine",0.07
"often",0.07
"services",0.07
