"","das"
"da",0.42
"dos",0.36
"centro",0.29
"de",0.23
"porto",0.22
"brazilian",0.21
"grande",0.15
"municipal",0.15
"rio",0.15
"africa",0.14
"avenida",0.14
"portuguese",0.14
"santo",0.14
"default",0.12
"ecological",0.12
"pedro",0.12
"francisco",0.11
"christ",0.1
"touristic",0.1
"verde",0.1
"antonio",0.09
"mar",0.09
"nova",0.09
"colonial",0.08
"km",0.08
"casa",0.07
"maria",0.07
"miguel",0.07
