"","young"
"people",0.13
"especially",0.12
"bars",0.11
"music",0.11
"clubs",0.1
"crowded",0.1
"english",0.1
"find",0.1
"men",0.1
"night",0.1
"speak",0.1
"usually",0.1
"always",0.09
"bit",0.09
"cheap",0.09
"children",0.09
"crowd",0.09
"drink",0.09
"even",0.09
"expensive",0.09
"families",0.09
"often",0.09
"popular",0.09
"prices",0.09
"social",0.09
"adults",0.08
"age",0.08
"ask",0.08
"avoid",0.08
"bar",0.08
"beer",0.08
"best",0.08
"card",0.08
"check",0.08
"classes",0.08
"dance",0.08
"different",0.08
"every",0.08
"exchange",0.08
"floor",0.08
"front",0.08
"good",0.08
"know",0.08
"like",0.08
"locals",0.08
"look",0.08
"lot",0.08
"modern",0.08
"offer",0.08
"parties",0.08
"pay",0.08
"place",0.08
"playing",0.08
"price",0.08
"probably",0.08
"quite",0.08
"selection",0.08
"since",0.08
"sometimes",0.08
"special",0.08
"staff",0.08
"streets",0.08
"try",0.08
"want",0.08
"will",0.08
"among",0.07
"better",0.07
"book",0.07
"buy",0.07
"called",0.07
"charge",0.07
"choose",0.07
"dishes",0.07
"drinking",0.07
"drinks",0.07
"driver",0.07
"european",0.07
"expect",0.07
"fairly",0.07
"foreign",0.07
"free",0.07
"friendly",0.07
"help",0.07
"less",0.07
"live",0.07
"longer",0.07
"make",0.07
"meet",0.07
"might",0.07
"mostly",0.07
"nice",0.07
"nightclub",0.07
"note",0.07
"older",0.07
"order",0.07
"period",0.07
"safe",0.07
"sausage",0.07
"shops",0.07
"students",0.07
"sure",0.07
"use",0.07
"worth",0.07
"years",0.07
