"","cooked"
"dish",0.15
"eaten",0.15
"dishes",0.13
"pork",0.13
"rice",0.13
"spices",0.13
"flour",0.12
"food",0.12
"fried",0.12
"herbs",0.12
"meat",0.12
"milk",0.12
"boiled",0.11
"coconut",0.11
"made",0.11
"vegetables",0.11
"beef",0.1
"fish",0.1
"freshly",0.1
"meal",0.1
"mixed",0.1
"prepared",0.1
"served",0.1
"soup",0.1
"stew",0.1
"try",0.1
"always",0.09
"chicken",0.09
"cuisine",0.09
"fresh",0.09
"spicy",0.09
"steamed",0.09
"stuffed",0.09
"sweet",0.09
"thin",0.09
"usually",0.09
"authentic",0.08
"consumed",0.08
"cooking",0.08
"different",0.08
"egg",0.08
"generally",0.08
"grilled",0.08
"like",0.08
"meals",0.08
"often",0.08
"onion",0.08
"sugar",0.08
"wrapped",0.08
"bread",0.07
"cake",0.07
"curries",0.07
"especially",0.07
"find",0.07
"flavor",0.07
"good",0.07
"sauce",0.07
"sometimes",0.07
"taste",0.07
"varieties",0.07
"version",0.07
