"","fan"
"air-con",0.33
"baht",0.22
"con",0.2
"rooms",0.15
"thai",0.15
"bungalows",0.14
"motorbike",0.13
"bangkok",0.12
"clean",0.11
"double",0.11
"guesthouse",0.11
"motorbikes",0.11
"padi",0.11
"air",0.1
"bathroom",0.1
"bathrooms",0.1
"friendly",0.1
"room",0.1
"ban",0.09
"budget",0.09
"bungalow",0.09
"cable",0.09
"mosquito",0.09
"tv",0.09
"add",0.08
"basic",0.08
"dive",0.08
"massage",0.08
"ore",0.08
"rp",0.08
"thailand",0.08
"wi-fi",0.08
"arrange",0.07
"don",0.07
"neat",0.07
"nothing",0.07
"price",0.07
"terminal",0.07
"toilet",0.07
