"","return"
"ticket",0.17
"trip",0.15
"costs",0.14
"leave",0.14
"pay",0.13
"back",0.12
"cost",0.12
"day",0.12
"depart",0.12
"journey",0.12
"tickets",0.12
"time",0.12
"advance",0.11
"buy",0.11
"departure",0.11
"driver",0.11
"ferry",0.11
"may",0.11
"will",0.11
"departs",0.1
"expect",0.1
"least",0.1
"leaving",0.1
"note",0.1
"per",0.1
"possible",0.1
"price",0.1
"prices",0.1
"valid",0.1
"without",0.1
"accept",0.09
"arriving",0.09
"avoid",0.09
"book",0.09
"booking",0.09
"buying",0.09
"card",0.09
"charge",0.09
"depending",0.09
"even",0.09
"expensive",0.09
"extra",0.09
"fare",0.09
"guide",0.09
"leaves",0.09
"make",0.09
"must",0.09
"need",0.09
"one-way",0.09
"passengers",0.09
"passport",0.09
"sure",0.09
"takes",0.09
"travel",0.09
"trips",0.09
"visa",0.09
"wait",0.09
"walk",0.09
"'ll",0.08
"able",0.08
"always",0.08
"arrange",0.08
"arrival",0.08
"arrives",0.08
"ask",0.08
"available",0.08
"better",0.08
"board",0.08
"boat",0.08
"booked",0.08
"careful",0.08
"catch",0.08
"cheaper",0.08
"check",0.08
"companies",0.08
"drivers",0.08
"either",0.08
"ferries",0.08
"get",0.08
"look",0.08
"low",0.08
"luggage",0.08
"meals",0.08
"might",0.08
"money",0.08
"morning",0.08
"night",0.08
"often",0.08
"operators",0.08
"paying",0.08
"person",0.08
"police",0.08
"remember",0.08
"sometimes",0.08
"start",0.08
"use",0.08
"usually",0.08
"way",0.08
"although",0.07
"arrive",0.07
"bring",0.07
"can",0.07
"cards",0.07
"carry",0.07
"costing",0.07
"currency",0.07
"departing",0.07
"end",0.07
"enter",0.07
"entry",0.07
"fixed",0.07
"give",0.07
"hire",0.07
"insurance",0.07
"keep",0.07
"less",0.07
"locals",0.07
"longer",0.07
"normally",0.07
"operate",0.07
"paid",0.07
"pick",0.07
"probably",0.07
"purchase",0.07
"require",0.07
"required",0.07
"returning",0.07
"run",0.07
"season",0.07
"sell",0.07
"single",0.07
"stay",0.07
"taxi",0.07
"times",0.07
"views",0.07
"want",0.07
