"","provincial"
"canada",0.2
"province",0.17
"ontario",0.14
"canadian",0.13
"bc",0.12
"provinces",0.12
"capital",0.1
"capitals",0.1
"hwy",0.09
"british",0.08
"highway",0.08
"region",0.08
"gateway",0.07
"salmon",0.07
