"","included"
"breakfast",0.15
"room",0.11
"internet",0.1
"pay",0.1
"price",0.1
"rooms",0.1
"clean",0.09
"hostel",0.09
"meals",0.09
"per",0.09
"prices",0.09
"staff",0.09
"wi-fi",0.09
"double",0.08
"english",0.08
"expensive",0.08
"fee",0.08
"free",0.08
"friendly",0.08
"money",0.08
"night",0.08
"often",0.08
"person",0.08
"tax",0.08
"additional",0.07
"better",0.07
"bit",0.07
"book",0.07
"cards",0.07
"common",0.07
"departure",0.07
"depending",0.07
"even",0.07
"luggage",0.07
"note",0.07
"stay",0.07
"valid",0.07
