"","night"
"per",0.25
"prices",0.18
"bars",0.17
"clubs",0.17
"price",0.17
"food",0.16
"friendly",0.16
"room",0.16
"bar",0.15
"cheap",0.15
"cost",0.15
"expensive",0.15
"music",0.15
"person",0.15
"spend",0.15
"always",0.14
"dance",0.14
"day",0.14
"drinks",0.14
"every",0.14
"free",0.14
"good",0.14
"nights",0.14
"rooms",0.14
"stay",0.14
"try",0.14
"usually",0.14
"ask",0.13
"avoid",0.13
"drink",0.13
"find",0.13
"friday",0.13
"make",0.13
"offer",0.13
"pay",0.13
"staff",0.13
"taxi",0.13
"want",0.13
"will",0.13
"best",0.12
"breakfast",0.12
"budget",0.12
"cheaper",0.12
"clean",0.12
"club",0.12
"dinner",0.12
"double",0.12
"especially",0.12
"even",0.12
"internet",0.12
"live",0.12
"locals",0.12
"menu",0.12
"next",0.12
"often",0.12
"place",0.12
"safe",0.12
"start",0.12
"sure",0.12
"taxis",0.12
"'re",0.11
"around",0.11
"available",0.11
"beer",0.11
"better",0.11
"bit",0.11
"buy",0.11
"can",0.11
"charge",0.11
"cocktails",0.11
"costs",0.11
"crowd",0.11
"depending",0.11
"different",0.11
"enjoy",0.11
"evening",0.11
"expect",0.11
"extra",0.11
"front",0.11
"full",0.11
"get",0.11
"go",0.11
"great",0.11
"hostel",0.11
"hotels",0.11
"late",0.11
"like",0.11
"lunch",0.11
"may",0.11
"money",0.11
"nice",0.11
"party",0.11
"people",0.11
"places",0.11
"pool",0.11
"quality",0.11
"range",0.11
"restaurant",0.11
"single",0.11
"time",0.11
"'s",0.1
"atmosphere",0.1
"booking",0.1
"cheapest",0.1
"check",0.1
"choice",0.1
"cocktail",0.1
"coffee",0.1
"come",0.1
"companies",0.1
"crowded",0.1
"days",0.1
"drinking",0.1
"driver",0.1
"drivers",0.1
"floor",0.1
"generally",0.1
"hotel",0.1
"just",0.1
"keep",0.1
"least",0.1
"look",0.1
"looking",0.1
"lot",0.1
"morning",0.1
"must",0.1
"need",0.1
"nightclub",0.1
"nightlife",0.1
"offers",0.1
"open",0.1
"order",0.1
"owner",0.1
"pick",0.1
"playing",0.1
"popular",0.1
"private",0.1
"quiet",0.1
"quite",0.1
"really",0.1
"right",0.1
"saturday",0.1
"selection",0.1
"shopping",0.1
"sometimes",0.1
"streets",0.1
"style",0.1
"ticket",0.1
"tickets",0.1
"tourists",0.1
"use",0.1
"variety",0.1
"week",0.1
"worth",0.1
"young",0.1
"'ll",0.09
"able",0.09
"accept",0.09
"almost",0.09
"back",0.09
"bathroom",0.09
"behind",0.09
"big",0.09
"block",0.09
"book",0.09
"bottle",0.09
"bus",0.09
"cards",0.09
"close",0.09
"cool",0.09
"delicious",0.09
"dishes",0.09
"djs",0.09
"dorm",0.09
"eat",0.09
"english",0.09
"excellent",0.09
"exchange",0.09
"experience",0.09
"fare",0.09
"fee",0.09
"feel",0.09
"floors",0.09
"fresh",0.09
"fun",0.09
"getting",0.09
"hot",0.09
"hour",0.09
"know",0.09
"leave",0.09
"little",0.09
"loud",0.09
"lounge",0.09
"many",0.09
"market",0.09
"meals",0.09
"might",0.09
"minimum",0.09
"nightclubs",0.09
"offering",0.09
"option",0.09
"outside",0.09
"police",0.09
"rates",0.09
"reasonable",0.09
"ride",0.09
"run",0.09
"sell",0.09
"shared",0.09
"shops",0.09
"show",0.09
"staying",0.09
"student",0.09
"students",0.09
"takes",0.09
"though",0.09
"thursday",0.09
"traffic",0.09
"two",0.09
"vegetarian",0.09
"walk",0.09
"walking",0.09
"watch",0.09
"wide",0.09
"wifi",0.09
"without",0.09
"affordable",0.08
"air",0.08
"also",0.08
"although",0.08
"another",0.08
"anywhere",0.08
"arrange",0.08
"atms",0.08
"aware",0.08
"away",0.08
"bands",0.08
"beers",0.08
"buffet",0.08
"buses",0.08
"busy",0.08
"cafe",0.08
"card",0.08
"careful",0.08
"catch",0.08
"choose",0.08
"common",0.08
"cover",0.08
"currency",0.08
"decent",0.08
"definitely",0.08
"downstairs",0.08
"either",0.08
"electronic",0.08
"everything",0.08
"exclusive",0.08
"extremely",0.08
"fairly",0.08
"fares",0.08
"foreign",0.08
"fruit",0.08
"garden",0.08
"give",0.08
"hand",0.08
"happy",0.08
"help",0.08
"helpful",0.08
"higher",0.08
"hours",0.08
"huge",0.08
"include",0.08
"included",0.08
"including",0.08
"karaoke",0.08
"large",0.08
"latest",0.08
"leaving",0.08
"less",0.08
"lights",0.08
"lively",0.08
"local",0.08
"longer",0.08
"lots",0.08
"made",0.08
"meal",0.08
"meat",0.08
"meet",0.08
"mid-range",0.08
"minute",0.08
"mix",0.08
"modern",0.08
"much",0.08
"noisy",0.08
"note",0.08
"number",0.08
"offices",0.08
"opposite",0.08
"options",0.08
"paying",0.08
"plan",0.08
"play",0.08
"prepared",0.08
"priced",0.08
"probably",0.08
"provide",0.08
"ranging",0.08
"rate",0.08
"rather",0.08
"recently",0.08
"relatively",0.08
"rent",0.08
"return",0.08
"rooftop",0.08
"see",0.08
"selling",0.08
"serves",0.08
"service",0.08
"serving",0.08
"set",0.08
"shop",0.08
"shower",0.08
"side",0.08
"simple",0.08
"sit",0.08
"slightly",0.08
"something",0.08
"special",0.08
"sports",0.08
"stalls",0.08
"standard",0.08
"swimming",0.08
"tend",0.08
"top",0.08
"tourist",0.08
"trip",0.08
"tv",0.08
"types",0.08
"upstairs",0.08
"using",0.08
"value",0.08
"various",0.08
"venues",0.08
"wait",0.08
"wednesday",0.08
"well",0.08
"wi-fi",0.08
"advance",0.07
"anything",0.07
"arrive",0.07
"authentic",0.07
"bargain",0.07
"basic",0.07
"beds",0.07
"beware",0.07
"blocks",0.07
"bring",0.07
"call",0.07
"case",0.07
"chinese",0.07
"compared",0.07
"corner",0.07
"couple",0.07
"daily",0.07
"departure",0.07
"discount",0.07
"equipped",0.07
"european",0.07
"evenings",0.07
"facilities",0.07
"football",0.07
"found",0.07
"fried",0.07
"going",0.07
"guest",0.07
"guests",0.07
"hang",0.07
"hard",0.07
"kind",0.07
"kitchen",0.07
"laundry",0.07
"let",0.07
"low",0.07
"luggage",0.07
"makes",0.07
"midnight",0.07
"miss",0.07
"normal",0.07
"packed",0.07
"parties",0.07
"passengers",0.07
"pizzas",0.07
"plate",0.07
"plays",0.07
"pub",0.07
"real",0.07
"relaxed",0.07
"relaxing",0.07
"remember",0.07
"rental",0.07
"screens",0.07
"season",0.07
"serve",0.07
"sleeper",0.07
"someone",0.07
"specials",0.07
"spending",0.07
"table",0.07
"tables",0.07
"take",0.07
"terminal",0.07
"thai",0.07
"things",0.07
"throughout",0.07
"times",0.07
"tour",0.07
"travel",0.07
"trendy",0.07
"trips",0.07
"tuesday",0.07
"valuables",0.07
"vary",0.07
"warm",0.07
"way",0.07
"whole",0.07
"women",0.07
