"","also"
"can",0.23
"many",0.16
"around",0.15
"well",0.15
"good",0.14
"like",0.14
"find",0.13
"available",0.12
"famous",0.12
"get",0.12
"known",0.12
"buses",0.11
"called",0.11
"several",0.11
"another",0.1
"best",0.1
"especially",0.1
"food",0.1
"go",0.1
"hotels",0.1
"offer",0.1
"one",0.1
"places",0.1
"popular",0.1
"quite",0.1
"see",0.1
"will",0.1
"bus",0.09
"buy",0.09
"every",0.09
"found",0.09
"including",0.09
"local",0.09
"made",0.09
"much",0.09
"nice",0.09
"number",0.09
"often",0.09
"people",0.09
"place",0.09
"prices",0.09
"shops",0.09
"try",0.09
"usually",0.09
"visit",0.09
"'s",0.08
"although",0.08
"beautiful",0.08
"connected",0.08
"cost",0.08
"day",0.08
"different",0.08
"english",0.08
"even",0.08
"great",0.08
"large",0.08
"lot",0.08
"major",0.08
"make",0.08
"may",0.08
"night",0.08
"offers",0.08
"outside",0.08
"parts",0.08
"possible",0.08
"regular",0.08
"serve",0.08
"serves",0.08
"smaller",0.08
"take",0.08
"taxis",0.08
"time",0.08
"top",0.08
"train",0.08
"trains",0.08
"two",0.08
"used",0.08
"variety",0.08
"want",0.08
"always",0.07
"cheap",0.07
"cheaper",0.07
"cities",0.07
"common",0.07
"costs",0.07
"delicious",0.07
"direct",0.07
"expensive",0.07
"near",0.07
"next",0.07
"option",0.07
"reasonable",0.07
"station",0.07
"tourist",0.07
"travel",0.07
"use",0.07
"various",0.07
"way",0.07
