"","bed"
"breakfast",0.4
"house",0.18
"inn",0.17
"phone",0.14
"room",0.14
"street",0.14
"breakfasts",0.13
"cottage",0.12
"guest",0.12
"st",0.12
"dorm",0.11
"double",0.11
"rooms",0.11
"victorian",0.11
"bedrooms",0.1
"historic",0.1
"hostel",0.1
"jacuzzi",0.1
"kitchen",0.1
"private",0.1
"rd",0.1
"antiques",0.09
"dining",0.09
"farm",0.09
"full",0.09
"miles",0.09
"motel",0.09
"open",0.09
"restaurant",0.09
"wireless",0.09
"ave",0.08
"bar",0.08
"campground",0.08
"dinner",0.08
"family",0.08
"free",0.08
"gallery",0.08
"gourmet",0.08
"homemade",0.08
"organic",0.08
"outdoor",0.08
"queen",0.08
"shop",0.08
"suite",0.08
"tours",0.08
"whirlpool",0.08
"antique",0.07
"barn",0.07
"beds",0.07
"cabins",0.07
"creek",0.07
"drive",0.07
"friendly",0.07
"lodge",0.07
"log",0.07
"lounge",0.07
"romantic",0.07
"rv",0.07
"store",0.07
"studio",0.07
"suites",0.07
