"","cream"
"ice",0.58
"parlor",0.25
"flavors",0.19
"pizza",0.15
"homemade",0.14
"shop",0.13
"sandwiches",0.12
"chocolate",0.11
"store",0.11
"coffee",0.1
"dairy",0.1
"deli",0.1
"delicious",0.1
"great",0.1
"italian",0.1
"street",0.1
"baked",0.09
"bar",0.09
"cookies",0.09
"downtown",0.09
"family",0.09
"fun",0.09
"gourmet",0.09
"lunch",0.09
"selection",0.09
"variety",0.09
"authentic",0.08
"avenue",0.08
"cafe",0.08
"candy",0.08
"food",0.08
"fresh",0.08
"gift",0.08
"house",0.08
"indoor",0.08
"live",0.08
"menu",0.08
"outdoor",0.08
"quaint",0.08
"restaurant",0.08
"sit",0.08
"tons",0.08
"arcade",0.07
"boston",0.07
"classic",0.07
"clothing",0.07
"diner",0.07
"dinner",0.07
"favorite",0.07
"frozen",0.07
"inn",0.07
"kids",0.07
"open",0.07
"rd",0.07
"sells",0.07
"soft",0.07
"take-",0.07
