"","destroyed"
"rebuilt",0.23
"built",0.13
"century",0.12
"remains",0.12
"war",0.12
"buildings",0.11
"earthquake",0.11
"troops",0.11
"burnt",0.1
"church",0.1
"damaged",0.1
"allied",0.09
"building",0.09
"completely",0.09
"fire",0.09
"founded",0.09
"monks",0.09
"walls",0.09
"became",0.08
"dated",0.08
"first",0.08
"fortress",0.08
"later",0.08
"roman",0.08
"ruins",0.08
"still",0.08
"suffered",0.08
"today",0.08
"world",0.08
"ancient",0.07
"baroque",0.07
"cathedral",0.07
"important",0.07
"killed",0.07
"monastery",0.07
"restored",0.07
"since",0.07
"site",0.07
"survived",0.07
"tomb",0.07
