"","summit"
"mountain",0.13
"climb",0.09
"crater",0.09
"highest",0.09
"mount",0.09
"volcano",0.09
"base",0.08
"climbing",0.08
"lava",0.08
"beginner",0.07
"path",0.07
"trail",0.07
