"","leave"
"buses",0.22
"cost",0.18
"leaves",0.18
"ask",0.17
"pay",0.17
"will",0.17
"costs",0.16
"bus",0.15
"leaving",0.15
"taxi",0.15
"get",0.14
"may",0.14
"return",0.14
"arrive",0.13
"boats",0.13
"buy",0.13
"driver",0.13
"need",0.13
"price",0.13
"take",0.13
"trip",0.13
"wait",0.13
"around",0.12
"depending",0.12
"expensive",0.12
"make",0.12
"money",0.12
"prices",0.12
"sure",0.12
"taxis",0.12
"ticket",0.12
"visa",0.12
"want",0.12
"aware",0.11
"can",0.11
"change",0.11
"day",0.11
"drivers",0.11
"every",0.11
"expect",0.11
"give",0.11
"going",0.11
"journey",0.11
"luggage",0.11
"might",0.11
"minibuses",0.11
"morning",0.11
"note",0.11
"passport",0.11
"per",0.11
"ride",0.11
"shared",0.11
"takes",0.11
"terminal",0.11
"tickets",0.11
"time",0.11
"usually",0.11
"walk",0.11
"without",0.11
"arrange",0.1
"avoid",0.1
"bags",0.1
"book",0.1
"bring",0.1
"charge",0.1
"cheaper",0.1
"clean",0.1
"currency",0.1
"departure",0.1
"drop",0.1
"even",0.1
"exchange",0.1
"extra",0.1
"find",0.1
"hours",0.1
"keep",0.1
"least",0.1
"next",0.1
"police",0.1
"possible",0.1
"see",0.1
"sometimes",0.1
"try",0.1
"'ll",0.09
"'re",0.09
"able",0.09
"always",0.09
"arrival",0.09
"asking",0.09
"atms",0.09
"back",0.09
"bargain",0.09
"basic",0.09
"bit",0.09
"carry",0.09
"catch",0.09
"cheap",0.09
"double",0.09
"english",0.09
"foreign",0.09
"foreigners",0.09
"go",0.09
"little",0.09
"night",0.09
"option",0.09
"paying",0.09
"person",0.09
"pick",0.09
"probably",0.09
"quite",0.09
"rooms",0.09
"sell",0.09
"side",0.09
"tourists",0.09
"travellers",0.09
"trying",0.09
"two",0.09
"unless",0.09
"use",0.09
"women",0.09
"'s",0.08
"accept",0.08
"advance",0.08
"although",0.08
"arriving",0.08
"asked",0.08
"atm",0.08
"behind",0.08
"better",0.08
"beware",0.08
"boat",0.08
"buying",0.08
"card",0.08
"cards",0.08
"cheapest",0.08
"check",0.08
"companies",0.08
"depart",0.08
"dollars",0.08
"drinks",0.08
"early",0.08
"enough",0.08
"ensure",0.08
"enter",0.08
"especially",0.08
"guide",0.08
"help",0.08
"hour",0.08
"instead",0.08
"internet",0.08
"just",0.08
"know",0.08
"left",0.08
"less",0.08
"let",0.08
"likely",0.08
"look",0.08
"motorbike",0.08
"much",0.08
"offer",0.08
"office",0.08
"often",0.08
"order",0.08
"outside",0.08
"paid",0.08
"passengers",0.08
"people",0.08
"plastic",0.08
"please",0.08
"rate",0.08
"rather",0.08
"remember",0.08
"safe",0.08
"security",0.08
"seem",0.08
"sim",0.08
"staff",0.08
"stay",0.08
"tell",0.08
"times",0.08
"touts",0.08
"travel",0.08
"valuables",0.08
"waiting",0.08
"wifi",0.08
"willing",0.08
"almost",0.07
"another",0.07
"anything",0.07
"calle",0.07
"cash",0.07
"daily",0.07
"decent",0.07
"decide",0.07
"drink",0.07
"extremely",0.07
"fare",0.07
"fee",0.07
"fill",0.07
"food",0.07
"front",0.07
"generally",0.07
"getting",0.07
"good",0.07
"illegal",0.07
"insist",0.07
"locals",0.07
"longer",0.07
"metric",0.07
"mind",0.07
"negotiate",0.07
"novprecip",0.07
"obtain",0.07
"overnight",0.07
"respect",0.07
"returning",0.07
"run",0.07
"simple",0.07
"single",0.07
"sold",0.07
"speak",0.07
"spend",0.07
"start",0.07
"station",0.07
"taking",0.07
"tour",0.07
"tourist",0.07
"transport",0.07
"visas",0.07
"way",0.07
