"","camel"
"desert",0.33
"oasis",0.14
"sand",0.12
"dunes",0.11
"safari",0.11
"al",0.1
"arabic",0.09
"camps",0.08
"mosque",0.08
"tents",0.08
"camp",0.07
"experience",0.07
"huts",0.07
"milk",0.07
