"","houses"
"built",0.15
"building",0.12
"old",0.12
"buildings",0.11
"collection",0.11
"guest",0.11
"oldest",0.11
"century",0.1
"house",0.1
"preserved",0.1
"wooden",0.1
"church",0.09
"museum",0.09
"paintings",0.09
"square",0.09
"streets",0.09
"used",0.09
"art",0.08
"back",0.08
"baroque",0.08
"castle",0.08
"dating",0.08
"now",0.08
"style",0.08
"walls",0.08
"dates",0.07
"former",0.07
"medieval",0.07
"original",0.07
"restored",0.07
"still",0.07
"stone",0.07
"tower",0.07
"windows",0.07
"works",0.07
