"","tennis"
"courts",0.34
"basketball",0.26
"golf",0.21
"club",0.15
"swimming",0.15
"athletic",0.14
"fitness",0.14
"indoor",0.14
"outdoor",0.13
"playground",0.13
"volleyball",0.13
"pool",0.12
"sports",0.12
"acres",0.11
"dining",0.11
"baseball",0.1
"picnic",0.1
"pro",0.1
"features",0.09
"miniature",0.09
"play",0.09
"resort",0.09
"blind",0.08
"course",0.08
"family",0.08
"game",0.08
"heated",0.08
"offers",0.08
"park",0.08
"bar",0.07
"children's",0.07
"live",0.07
"meeting",0.07
"open",0.07
"park'''",0.07
"skating",0.07
"soccer",0.07
