"","make"
"water",0.08
"wear",0.08
"weather",0.08
"whatever",0.08
"wonderful",0.08
"'d",0.07
"add",0.07
"agree",0.07
"arrival",0.07
"atmosphere",0.07
"average",0.07
"bad",0.07
"bag",0.07
"bargain",0.07
"beautiful",0.07
"class",0.07
"clear",0.07
"complete",0.07
"correct",0.07
"couple",0.07
"credit",0.07
"dark",0.07
"departure",0.07
"despite",0.07
"dinner",0.07
"dish",0.07
"dorm",0.07
"drunk",0.07
"effort",0.07
"entry",0.07
"everywhere",0.07
"finding",0.07
"fried",0.07
"friends",0.07
"guides",0.07
"hang",0.07
"head",0.07
"however",0.07
"include",0.07
"interested",0.07
"job",0.07
"language",0.07
"last",0.07
"license",0.07
"list",0.07
"locations",0.07
"lost",0.07
"love",0.07
"lunch",0.07
"menu",0.07
"mobile",0.07
"multiple",0.07
"normally",0.07
"number",0.07
"numbers",0.07
"offering",0.07
"offices",0.07
"options",0.07
"owner",0.07
"phones",0.07
"polite",0.07
"possibly",0.07
"rates",0.07
"real",0.07
"reasonable",0.07
"reasonably",0.07
"reliable",0.07
"respect",0.07
"rice",0.07
"seats",0.07
"sense",0.07
"shared",0.07
"slow",0.07
"sold",0.07
"somewhat",0.07
"somewhere",0.07
"spot",0.07
"starting",0.07
"tap",0.07
"tipping",0.07
"together",0.07
"two",0.07
"type",0.07
"uncommon",0.07
"unlike",0.07
"virtually",0.07
"walking",0.07
"whole",0.07
"wide",0.07
"young",0.07
