"","good"
"food",0.25
"nice",0.22
"place",0.21
"excellent",0.19
"friendly",0.18
"quality",0.18
"try",0.18
"'s",0.17
"best",0.17
"cheap",0.17
"prices",0.17
"find",0.16
"want",0.16
"bit",0.15
"clean",0.15
"expensive",0.15
"get",0.15
"go",0.15
"great",0.15
"little",0.15
"places",0.15
"quite",0.15
"really",0.15
"reasonable",0.15
"restaurant",0.15
"selection",0.15
"will",0.15
"worth",0.15
"'re",0.14
"also",0.14
"always",0.14
"around",0.14
"ask",0.14
"can",0.14
"decent",0.14
"idea",0.14
"like",0.14
"night",0.14
"pretty",0.14
"staff",0.14
"walk",0.14
"bar",0.13
"better",0.13
"buy",0.13
"expect",0.13
"just",0.13
"lots",0.13
"make",0.13
"pay",0.13
"price",0.13
"rooms",0.13
"value",0.13
"'ll",0.12
"beer",0.12
"choice",0.12
"dishes",0.12
"eat",0.12
"especially",0.12
"even",0.12
"hotel",0.12
"menu",0.12
"might",0.12
"much",0.12
"sure",0.12
"usually",0.12
"another",0.11
"bars",0.11
"big",0.11
"budget",0.11
"cheaper",0.11
"day",0.11
"drink",0.11
"drinks",0.11
"hotels",0.11
"local",0.11
"lot",0.11
"many",0.11
"need",0.11
"next",0.11
"offer",0.11
"option",0.11
"plenty",0.11
"popular",0.11
"probably",0.11
"right",0.11
"see",0.11
"shops",0.11
"taxis",0.11
"time",0.11
"vegetarian",0.11
"views",0.11
"although",0.1
"atmosphere",0.1
"check",0.1
"close",0.1
"come",0.1
"cost",0.1
"couple",0.1
"delicious",0.1
"double",0.1
"english",0.1
"every",0.1
"fairly",0.1
"fresh",0.1
"generally",0.1
"give",0.1
"know",0.1
"large",0.1
"less",0.1
"locals",0.1
"look",0.1
"market",0.1
"meal",0.1
"meat",0.1
"often",0.1
"outside",0.1
"people",0.1
"per",0.1
"pleasant",0.1
"range",0.1
"rather",0.1
"real",0.1
"reasonably",0.1
"room",0.1
"run",0.1
"sell",0.1
"serves",0.1
"sometimes",0.1
"top",0.1
"view",0.1
"way",0.1
"well",0.1
"without",0.1
"available",0.09
"avoid",0.09
"away",0.09
"basic",0.09
"beers",0.09
"behind",0.09
"book",0.09
"centre",0.09
"charge",0.09
"coffee",0.09
"crowd",0.09
"crowded",0.09
"drivers",0.09
"end",0.09
"fast",0.09
"feel",0.09
"fish",0.09
"free",0.09
"front",0.09
"gets",0.09
"helpful",0.09
"hostel",0.09
"inside",0.09
"internet",0.09
"looking",0.09
"lunch",0.09
"makes",0.09
"may",0.09
"money",0.09
"number",0.09
"opposite",0.09
"owner",0.09
"prepared",0.09
"priced",0.09
"serve",0.09
"shop",0.09
"slightly",0.09
"start",0.09
"stay",0.09
"streets",0.09
"take",0.09
"taste",0.09
"tasty",0.09
"taxi",0.09
"tend",0.09
"though",0.09
"trip",0.09
"use",0.09
"usual",0.09
"variety",0.09
"walking",0.09
"wifi",0.09
"almost",0.08
"anything",0.08
"anywhere",0.08
"attached",0.08
"back",0.08
"buses",0.08
"cafe",0.08
"careful",0.08
"cheapest",0.08
"companies",0.08
"costs",0.08
"deal",0.08
"different",0.08
"difficult",0.08
"driver",0.08
"eating",0.08
"enough",0.08
"everything",0.08
"fantastic",0.08
"far",0.08
"floor",0.08
"getting",0.08
"going",0.08
"hand",0.08
"hard",0.08
"high",0.08
"hire",0.08
"least",0.08
"lovely",0.08
"meals",0.08
"meet",0.08
"modern",0.08
"music",0.08
"near",0.08
"nightlife",0.08
"normal",0.08
"note",0.08
"one",0.08
"open",0.08
"options",0.08
"pick",0.08
"pool",0.08
"private",0.08
"pubs",0.08
"quiet",0.08
"relaxed",0.08
"roads",0.08
"safe",0.08
"seem",0.08
"serving",0.08
"short",0.08
"simple",0.08
"sit",0.08
"small",0.08
"something",0.08
"somewhat",0.08
"spot",0.08
"standard",0.08
"still",0.08
"style",0.08
"ticket",0.08
"tickets",0.08
"tourist",0.08
"unless",0.08
"upstairs",0.08
"visit",0.08
"wide",0.08
"young",0.08
"authentic",0.07
"booking",0.07
"bus",0.07
"busy",0.07
"catch",0.07
"chicken",0.07
"chinese",0.07
"clothes",0.07
"cocktails",0.07
"compared",0.07
"condition",0.07
"cooked",0.07
"depending",0.07
"easily",0.07
"easy",0.07
"evening",0.07
"evenings",0.07
"extra",0.07
"foreign",0.07
"fruit",0.07
"full",0.07
"half",0.07
"hang",0.07
"indian",0.07
"keep",0.07
"kind",0.07
"leave",0.07
"let",0.07
"live",0.07
"lively",0.07
"long",0.07
"longer",0.07
"main",0.07
"miss",0.07
"nights",0.07
"old",0.07
"ones",0.07
"parking",0.07
"problem",0.07
"pub",0.07
"relatively",0.07
"rent",0.07
"several",0.07
"shopping",0.07
"table",0.07
"tables",0.07
"tends",0.07
"terrace",0.07
"things",0.07
"two",0.07
"wait",0.07
"watch",0.07
