"","left"
"turn",0.47
"right",0.33
"onto",0.25
"follow",0.21
"continue",0.18
"hand",0.18
"straight",0.18
"take",0.17
"sign",0.15
"past",0.14
"road",0.14
"towards",0.14
"exit",0.13
"side",0.13
"go",0.12
"will",0.12
"behind",0.11
"entrance",0.11
"head",0.11
"reach",0.11
"walk",0.11
"bank",0.1
"cross",0.1
"enter",0.1
"first",0.1
"keep",0.1
"look",0.1
"path",0.1
"see",0.1
"signs",0.1
"turning",0.1
"back",0.09
"end",0.09
"front",0.09
"just",0.09
"make",0.09
"next",0.09
"'ll",0.08
"another",0.08
"ask",0.08
"entering",0.08
"following",0.08
"last",0.08
"leads",0.08
"leave",0.08
"merge",0.08
"opposite",0.08
"parking",0.08
"passing",0.08
"proceed",0.08
"roundabout",0.08
"shortly",0.08
"stairs",0.08
"toward",0.08
"traffic",0.08
"across",0.07
"ahead",0.07
"ban",0.07
"bangkok",0.07
"block",0.07
"building",0.07
"come",0.07
"expect",0.07
"get",0.07
"going",0.07
"guesthouse",0.07
"little",0.07
"main",0.07
"may",0.07
"pass",0.07
"pay",0.07
"per",0.07
"room",0.07
"says",0.07
"sure",0.07
"tell",0.07
"time",0.07
