"","canada"
"canadian",0.36
"provincial",0.2
"bc",0.18
"ontario",0.16
"british",0.14
"greyhound",0.14
"highway",0.13
"lawrence",0.12
"columbia",0.11
"edward",0.1
"hockey",0.1
"transit",0.1
"nations",0.09
"united",0.09
"labour",0.08
"prince",0.08
"victoria",0.08
"air",0.07
"alaska",0.07
"downtown",0.07
"farmers'",0.07
"follows",0.07
"hwy",0.07
"north",0.07
"service",0.07
"weekend",0.07
