"","shinkansen"
"jr",0.46
"japan",0.41
"expwy",0.37
"tokyo",0.33
"japan's",0.3
"japanese",0.23
"line'''",0.21
"prefecture",0.21
"cherry",0.18
"line",0.16
"yen",0.16
"blossom",0.14
"holders",0.13
"station",0.13
"trains",0.13
"limited",0.12
"rail",0.12
"change",0.11
"express",0.11
"fastest",0.11
"rapid",0.11
"shrine",0.11
"train",0.1
"hot",0.09
"overnight",0.09
"round-trip",0.09
"castle",0.08
"daytime",0.08
"hours",0.08
"route",0.08
"spring",0.08
"famous",0.07
"minutes",0.07
"surcharge",0.07
