"","santa"
"cruz",0.34
"fe",0.3
"rosa",0.25
"maria",0.24
"san",0.23
"de",0.21
"los",0.18
"ana",0.17
"del",0.16
"la",0.16
"el",0.14
"spanish",0.14
"angeles",0.13
"casa",0.13
"francisco",0.13
"calle",0.12
"centro",0.11
"jose",0.11
"rio",0.11
"california",0.1
"dos",0.1
"'''san",0.09
"brazilian",0.09
"da",0.09
"luis",0.09
"mexico",0.09
"pedro",0.09
"'''el",0.08
"'''la",0.08
"africa",0.08
"avenida",0.08
"della",0.08
"di",0.08
"gran",0.08
"las",0.08
"magic",0.08
"municipal",0.08
"parque",0.08
"plaza",0.08
"santiago",0.08
"verde",0.08
"vista",0.08
"default",0.07
"monte",0.07
"pacific",0.07
"puerto",0.07
"sierra",0.07
"tasting",0.07
"villa",0.07
