"","bistro"
"ave",0.12
"bar",0.11
"dr",0.11
"inn",0.11
"menu",0.11
"rd",0.11
"restaurant",0.11
"st",0.11
"street",0.11
"boutique",0.1
"cafe",0.1
"lunch",0.1
"casual",0.09
"dining",0.09
"grill",0.09
"outdoor",0.09
"pub",0.09
"selection",0.09
"american",0.08
"blvd",0.08
"brunch",0.08
"cuisine",0.08
"deli",0.08
"dinner",0.08
"downtown",0.08
"featuring",0.08
"food",0.08
"pizza",0.08
"sandwiches",0.08
"wine",0.08
"avenue",0.07
"free",0.07
"great",0.07
"house",0.07
"intimate",0.07
"ln",0.07
"lounge",0.07
"phone",0.07
"saturday",0.07
