"","tower"
"clock",0.19
"built",0.18
"bell",0.17
"church",0.16
"century",0.13
"structure",0.13
"building",0.12
"castle",0.12
"gothic",0.12
"medieval",0.12
"rebuilt",0.12
"towers",0.12
"hall",0.11
"cathedral",0.1
"exhibition",0.1
"walls",0.1
"former",0.09
"fortified",0.09
"landmark",0.09
"museum",0.09
"old",0.09
"square",0.09
"tallest",0.09
"architect",0.08
"baroque",0.08
"catholic",0.08
"chapel",0.08
"collection",0.08
"gate",0.08
"oldest",0.08
"palace",0.08
"centre",0.07
"dates",0.07
"facade",0.07
"four",0.07
"houses",0.07
"modern",0.07
"monuments",0.07
"now",0.07
"original",0.07
"roman",0.07
"romanesque",0.07
"stone",0.07
"top",0.07
"used",0.07
