"","fares"
"congestion",0.17
"fare",0.16
"cabs",0.15
"cars",0.14
"service",0.14
"york",0.14
"kennedy",0.13
"tickets",0.13
"vending",0.13
"drivers",0.12
"liberty",0.12
"taxi",0.12
"apply",0.11
"card",0.11
"cheaper",0.11
"city's",0.11
"depending",0.11
"machines",0.11
"new",0.11
"offer",0.11
"one-way",0.11
"system",0.11
"terminal",0.11
"ticket",0.11
"yellow",0.11
"areas",0.1
"cards",0.1
"expensive",0.1
"operate",0.1
"start",0.1
"taxis",0.1
"vary",0.1
"ask",0.09
"available",0.09
"cheap",0.09
"clubs",0.09
"cost",0.09
"driver",0.09
"generally",0.09
"higher",0.09
"locations",0.09
"low-cost",0.09
"often",0.09
"online",0.09
"passengers",0.09
"pay",0.09
"purchased",0.09
"rental",0.09
"rush",0.09
"shuttle",0.09
"streets",0.09
"subject",0.09
"tend",0.09
"terminals",0.09
"three",0.09
"traffic",0.09
"transit",0.09
"usually",0.09
"valid",0.09
"-line",0.08
"additional",0.08
"airport",0.08
"avoid",0.08
"buy",0.08
"commuter",0.08
"companies",0.08
"direct",0.08
"discounts",0.08
"expect",0.08
"fixed",0.08
"free",0.08
"major",0.08
"may",0.08
"metered",0.08
"metro",0.08
"night",0.08
"note",0.08
"offers",0.08
"prices",0.08
"public",0.08
"range",0.08
"rate",0.08
"routes",0.08
"run",0.08
"services",0.08
"serving",0.08
"shopping",0.08
"slightly",0.08
"stations",0.08
"staying",0.08
"transfers",0.08
"typically",0.08
"using",0.08
"adult",0.07
"although",0.07
"always",0.07
"aware",0.07
"business",0.07
"buying",0.07
"carrier",0.07
"cash",0.07
"charge",0.07
"check",0.07
"credit",0.07
"crime",0.07
"currency",0.07
"equivalent",0.07
"even",0.07
"evening",0.07
"exchange",0.07
"express",0.07
"going",0.07
"including",0.07
"internet",0.07
"limited",0.07
"lines",0.07
"listings",0.07
"minutes",0.07
"money",0.07
"network",0.07
"offices",0.07
"operates",0.07
"paid",0.07
"paying",0.07
"pick",0.07
"plains",0.07
"present",0.07
"rates",0.07
"regular",0.07
"serve",0.07
"standard",0.07
"stops",0.07
"students",0.07
"timetables",0.07
"transfer",0.07
"use",0.07
"useful",0.07
