"","spanish"
"spain",0.25
"de",0.22
"del",0.21
"el",0.2
"la",0.2
"calle",0.19
"san",0.19
"juan",0.18
"casa",0.16
"colonial",0.16
"los",0.15
"plaza",0.15
"tapas",0.15
"'''el",0.14
"language",0.14
"las",0.14
"santa",0.14
"santiago",0.13
"mexico",0.12
"parque",0.12
"puerto",0.12
"avenida",0.11
"gran",0.11
"latin",0.11
"playa",0.11
"spoken",0.11
"caribbean",0.1
"costa",0.1
"american",0.09
"common",0.09
"con",0.09
"english",0.09
"gay",0.09
"miguel",0.09
"native",0.09
"pedro",0.09
"santo",0.09
"sol",0.09
"sur",0.09
"antonio",0.08
"classes",0.08
"indigenous",0.08
"jose",0.08
"learn",0.08
"mayor",0.08
"mexican",0.08
"rio",0.08
"sierra",0.08
"speak",0.08
"speakers",0.08
"speaking",0.08
"teaching",0.08
"tropical",0.08
"typical",0.08
"'''la",0.07
"corn",0.07
"drug",0.07
"francisco",0.07
"like",0.07
"pesos",0.07
"pork",0.07
"salsa",0.07
"streets",0.07
"teachers",0.07
"widely",0.07
