"","league"
"baseball",0.32
"team",0.29
"minor",0.23
"football",0.21
"hockey",0.18
"stadium",0.17
"games",0.16
"basketball",0.15
"play",0.14
"plays",0.14
"soccer",0.13
"teams",0.13
"cricket",0.12
"home",0.12
"rugby",0.12
"united",0.12
"downtown",0.11
"athletic",0.1
"compete",0.1
"sports",0.1
"venues",0.1
"arts",0.09
"avenue",0.09
"campus",0.09
"clubs",0.09
"college",0.09
"concert",0.09
"cup",0.09
"member",0.09
"played",0.09
"premier",0.09
"theater",0.09
"university",0.09
"american",0.08
"arena",0.08
"borough",0.08
"convention",0.08
"events",0.08
"interstate",0.08
"manchester",0.08
"match",0.08
"music",0.08
"new",0.08
"park",0.08
"performing",0.08
"playing",0.08
"successful",0.08
"symphony",0.08
"theatre",0.08
"throughout",0.08
"transit",0.08
"venue",0.08
"won",0.08
"areas",0.07
"art",0.07
"ave",0.07
"brewing",0.07
"chicago",0.07
"features",0.07
"field",0.07
"live",0.07
"nation's",0.07
"shopping",0.07
"suites",0.07
"union",0.07
