"","el"
"'''el",0.35
"la",0.26
"san",0.25
"las",0.22
"de",0.21
"del",0.2
"playa",0.2
"spanish",0.2
"calle",0.19
"los",0.19
"miguel",0.17
"parque",0.16
"puerto",0.15
"casa",0.14
"santa",0.14
"avenida",0.13
"francisco",0.13
"plaza",0.13
"jose",0.12
"america",0.11
"costa",0.11
"gran",0.11
"juan",0.11
"real",0.11
"'''la",0.1
"vendor",0.1
"block",0.09
"blocks",0.09
"default",0.09
"mexican",0.09
"mexico",0.09
"sol",0.09
"tacos",0.09
"tours'''",0.09
"bars",0.08
"caribbean",0.08
"pedro",0.08
"safe",0.08
"sierra",0.08
"spain",0.08
"surf",0.08
"wake",0.08
"antonio",0.07
"cruz",0.07
"mar",0.07
"nacional",0.07
"rio",0.07
"salsa",0.07
"santiago",0.07
