"","bathroom"
"double",0.26
"rooms",0.25
"shared",0.21
"tv",0.21
"bathrooms",0.19
"cable",0.19
"room",0.18
"clean",0.16
"pension",0.14
"private",0.14
"wifi",0.14
"dorm",0.13
"single",0.13
"breakfast",0.12
"friendly",0.12
"internet",0.12
"kitchen",0.12
"per",0.12
"shower",0.12
"beds",0.11
"person",0.11
"price",0.11
"bedrooms",0.1
"equipped",0.1
"fan",0.1
"floor",0.1
"hot",0.1
"owner",0.1
"terrace",0.1
"toilet",0.1
"ask",0.09
"balcony",0.09
"budget",0.09
"cost",0.09
"free",0.09
"guesthouse",0.09
"hotel",0.09
"mosquito",0.09
"nice",0.09
"night",0.09
"showers",0.09
"simple",0.09
"spacious",0.09
"wi-fi",0.09
"attached",0.08
"basic",0.08
"cheap",0.08
"decent",0.08
"doubles",0.08
"front",0.08
"helpful",0.08
"laundry",0.08
"lcd",0.08
"prayer",0.08
"rooftop",0.08
"staff",0.08
"triple",0.08
"arrange",0.07
"costs",0.07
"ensuite",0.07
"furnished",0.07
"hostel",0.07
"motorbike",0.07
"pool",0.07
"without",0.07
