"","style"
"restaurant",0.14
"building",0.13
"bar",0.12
"built",0.12
"rooms",0.12
"designed",0.11
"dishes",0.11
"floor",0.11
"food",0.11
"menu",0.11
"room",0.11
"selection",0.11
"shopping",0.11
"art",0.1
"atmosphere",0.1
"authentic",0.1
"baroque",0.1
"beer",0.1
"breakfast",0.1
"cuisine",0.1
"decorated",0.1
"dining",0.1
"family",0.1
"free",0.1
"house",0.1
"italian",0.1
"lunch",0.1
"modern",0.1
"music",0.1
"night",0.1
"offers",0.1
"variety",0.1
"beers",0.09
"buffet",0.09
"cheap",0.09
"chinese",0.09
"collection",0.09
"different",0.09
"dinner",0.09
"english",0.09
"excellent",0.09
"floors",0.09
"friendly",0.09
"full",0.09
"garden",0.09
"great",0.09
"hotel",0.09
"hungarian",0.09
"inside",0.09
"internet",0.09
"japanese",0.09
"live",0.09
"offer",0.09
"open",0.09
"place",0.09
"pub",0.09
"serves",0.09
"square",0.09
"unique",0.09
"american",0.08
"architect",0.08
"behind",0.08
"boutique",0.08
"buildings",0.08
"cafe",0.08
"choice",0.08
"classical",0.08
"club",0.08
"coffee",0.08
"corner",0.08
"dance",0.08
"decor",0.08
"european",0.08
"featuring",0.08
"front",0.08
"good",0.08
"guests",0.08
"hall",0.08
"houses",0.08
"include",0.08
"including",0.08
"large",0.08
"late",0.08
"lounge",0.08
"made",0.08
"nice",0.08
"offering",0.08
"old",0.08
"opened",0.08
"original",0.08
"renovated",0.08
"seating",0.08
"serving",0.08
"staff",0.08
"try",0.08
"well",0.08
"wide",0.08
"artists",0.07
"block",0.07
"business",0.07
"design",0.07
"downtown",0.07
"drinks",0.07
"every",0.07
"experience",0.07
"fine",0.07
"gothic",0.07
"owned",0.07
"pasta",0.07
"pool",0.07
"price",0.07
"prices",0.07
"private",0.07
"range",0.07
"rebuilt",0.07
"second",0.07
"shop",0.07
"streets",0.07
"students",0.07
"stylish",0.07
"symbol",0.07
"three",0.07
"vegetarian",0.07
"wine",0.07
