"","royal"
"palace",0.17
"king",0.14
"palaces",0.11
"princess",0.11
"british",0.09
"reign",0.09
"residence",0.09
"kingdom",0.08
"centre",0.07
"kings",0.07
"railway",0.07
"thai",0.07
