"","teams"
"compete",0.16
"team",0.16
"hockey",0.15
"basketball",0.14
"men's",0.14
"stadium",0.14
"football",0.13
"games",0.13
"league",0.13
"soccer",0.13
"sports",0.13
"campus",0.12
"fans",0.11
"play",0.1
"plays",0.1
"university",0.1
"women's",0.1
"year's",0.1
"athletic",0.09
"carnival",0.09
"race",0.09
"rugby",0.09
"venues",0.09
"american",0.08
"arena",0.08
"city's",0.08
"song",0.08
"wearing",0.08
"america's",0.07
"baseball",0.07
"college",0.07
"cup",0.07
"events",0.07
"gay",0.07
"performing",0.07
