"","center"
"shopping",0.18
"city",0.16
"downtown",0.16
"art",0.15
"arts",0.15
"ave",0.15
"mall",0.15
"theater",0.15
"blvd",0.13
"american",0.12
"business",0.12
"free",0.12
"inn",0.12
"located",0.12
"suites",0.12
"avenue",0.11
"center'''",0.11
"cultural",0.11
"fitness",0.11
"marriott",0.11
"metro",0.11
"museum",0.11
"performing",0.11
"plaza",0.11
"street",0.11
"su",0.11
"university",0.11
"centers",0.1
"city's",0.1
"convention",0.1
"dr",0.1
"exhibits",0.1
"f-sa",0.1
"featuring",0.1
"grill",0.1
"indoor",0.1
"library",0.1
"movie",0.1
"park",0.1
"phone",0.1
"sa",0.1
"upscale",0.1
"bar",0.09
"boulevard",0.09
"building",0.09
"college",0.09
"concerts",0.09
"conference",0.09
"exit",0.09
"features",0.09
"founded",0.09
"historic",0.09
"historical",0.09
"history",0.09
"interstate",0.09
"largest",0.09
"music",0.09
"outdoor",0.09
"pizza",0.09
"rd",0.09
"restaurant",0.09
"space",0.09
"sports",0.09
"square",0.09
"st",0.09
"stores",0.09
"transit",0.09
"washington",0.09
"amtrak",0.08
"campus",0.08
"corner",0.08
"events",0.08
"hotel",0.08
"live",0.08
"m-f",0.08
"municipal",0.08
"offers",0.08
"regional",0.08
"russian",0.08
"state",0.08
"store",0.08
"streets",0.08
"symphony",0.08
"theatre",0.08
"us",0.08
"artists",0.07
"basketball",0.07
"breakfast",0.07
"concert",0.07
"gallery",0.07
"home",0.07
"meeting",0.07
"orchestra",0.07
"parking",0.07
"railroad",0.07
"register",0.07
"science",0.07
"united",0.07
"wireless",0.07
"york",0.07
