"","communist"
"political",0.13
"party",0.1
"abroad",0.09
"china",0.09
"chinese",0.09
"foreign",0.09
"hong",0.09
"people's",0.09
"calling",0.08
"consulate",0.08
"dial",0.08
"ended",0.08
"government",0.08
"metric",0.08
"orthodox",0.08
"republic",0.08
"soviet",0.08
"aprprecip",0.07
"countries",0.07
"decprecip",0.07
"european",0.07
"exchange",0.07
"febprecip",0.07
"janhigh",0.07
"julprecip",0.07
"junprecip",0.07
"marprecip",0.07
"maylow",0.07
"mayprecip",0.07
"novprecip",0.07
"octprecip",0.07
"polish",0.07
"sepprecip",0.07
"speak",0.07
