"","surf"
"surfing",0.4
"surfers",0.38
"beach",0.24
"waves",0.24
"playa",0.21
"breaks",0.19
"ocean",0.18
"boards",0.17
"lessons",0.16
"beaches",0.15
"wave",0.14
"beachfront",0.13
"coast",0.12
"pacific",0.12
"beachside",0.11
"break",0.11
"bay",0.1
"beach'''",0.1
"consistent",0.1
"spots",0.1
"atlantic",0.09
"beginners",0.09
"reef",0.09
"sand",0.09
"seafood",0.09
"coastal",0.08
"costa",0.08
"el",0.08
"great",0.08
"kite",0.08
"rent",0.08
"rentals",0.08
"tropical",0.08
"vacation",0.08
"yoga",0.08
"fishing",0.07
"las",0.07
"miguel",0.07
"saving",0.07
"spot",0.07
"swim",0.07
