"","battle"
"fought",0.19
"troops",0.17
"war",0.17
"battles",0.15
"site",0.13
"took",0.13
"army",0.12
"civil",0.12
"forces",0.12
"victory",0.12
"fierce",0.1
"soldiers",0.1
"killed",0.09
"tank",0.09
"attacked",0.08
"blood",0.08
"ii",0.08
"military",0.08
"famously",0.07
"general",0.07
"monument",0.07
"william",0.07
