"","wifi"
"free",0.22
"internet",0.19
"rooms",0.15
"bathroom",0.14
"cafes",0.12
"room",0.12
"tv",0.12
"clean",0.11
"double",0.11
"friendly",0.11
"laundry",0.11
"ask",0.1
"breakfast",0.1
"budget",0.1
"calle",0.1
"coffee",0.1
"per",0.1
"price",0.1
"private",0.1
"bit",0.09
"block",0.09
"book",0.09
"cheap",0.09
"computer",0.09
"front",0.09
"good",0.09
"hostel",0.09
"hotel",0.09
"nice",0.09
"night",0.09
"pool",0.09
"prices",0.09
"shared",0.09
"staff",0.09
"atms",0.08
"bathrooms",0.08
"card",0.08
"cheaper",0.08
"cheapest",0.08
"cost",0.08
"costs",0.08
"deposit",0.08
"dorm",0.08
"dorms",0.08
"expensive",0.08
"extra",0.08
"food",0.08
"helpful",0.08
"leave",0.08
"menu",0.08
"next",0.08
"office",0.08
"restaurant",0.08
"rooftop",0.08
"single",0.08
"sometimes",0.08
"taxi",0.08
"bar",0.07
"basic",0.07
"cards",0.07
"close",0.07
"dishes",0.07
"excellent",0.07
"fridge",0.07
"hot",0.07
"hotels",0.07
"mobile",0.07
"pay",0.07
"pesos",0.07
"right",0.07
"simple",0.07
"spacious",0.07
"standard",0.07
"table",0.07
"taxis",0.07
"terrace",0.07
"try",0.07
