"","paris"
"rue",0.25
"france",0.23
"du",0.22
"french",0.19
"des",0.16
"le",0.16
"de",0.13
"jean",0.12
"la",0.11
"et",0.1
"saint",0.1
"contrary",0.09
"les",0.09
"ryanair",0.08
