"","routes"
"route",0.14
"areas",0.12
"major",0.12
"service",0.12
"transit",0.12
"network",0.11
"especially",0.1
"often",0.1
"parts",0.1
"traffic",0.1
"cities",0.09
"common",0.09
"connect",0.09
"east-west",0.09
"mall",0.09
"operate",0.09
"operates",0.09
"runs",0.09
"services",0.09
"shopping",0.09
"smaller",0.09
"suburbs",0.09
"travel",0.09
"university",0.09
"use",0.09
"airport",0.08
"avoid",0.08
"aware",0.08
"bus",0.08
"companies",0.08
"connecting",0.08
"crime",0.08
"different",0.08
"downtown",0.08
"driving",0.08
"fare",0.08
"fares",0.08
"generally",0.08
"including",0.08
"lines",0.08
"malls",0.08
"many",0.08
"maps",0.08
"note",0.08
"number",0.08
"parking",0.08
"passengers",0.08
"rail",0.08
"regional",0.08
"served",0.08
"several",0.08
"specific",0.08
"stations",0.08
"stops",0.08
"suburban",0.08
"system",0.08
"tend",0.08
"throughout",0.08
"within",0.08
"amtrak",0.07
"authority",0.07
"central",0.07
"connects",0.07
"despite",0.07
"drivers",0.07
"due",0.07
"fixed",0.07
"larger",0.07
"largest",0.07
"locations",0.07
"map",0.07
"metro",0.07
"passenger",0.07
"points",0.07
"regular",0.07
"relatively",0.07
"roads",0.07
"rural",0.07
"streets",0.07
"tickets",0.07
"trains",0.07
"united",0.07
"urban",0.07
"useful",0.07
