"","dishes"
"menu",0.21
"meat",0.2
"dish",0.19
"restaurant",0.17
"food",0.16
"cuisine",0.15
"fresh",0.15
"fried",0.15
"pork",0.14
"prices",0.14
"rice",0.14
"spicy",0.14
"tasty",0.14
"variety",0.14
"beef",0.13
"chicken",0.13
"cooked",0.13
"delicious",0.13
"prepared",0.13
"soup",0.13
"try",0.13
"typical",0.13
"vegetarian",0.13
"different",0.12
"drinks",0.12
"fish",0.12
"good",0.12
"grilled",0.12
"pasta",0.12
"selection",0.12
"serve",0.12
"serves",0.12
"authentic",0.11
"especially",0.11
"excellent",0.11
"find",0.11
"friendly",0.11
"include",0.11
"italian",0.11
"like",0.11
"lunch",0.11
"made",0.11
"meal",0.11
"menus",0.11
"noodle",0.11
"pay",0.11
"seafood",0.11
"serving",0.11
"staff",0.11
"style",0.11
"table",0.11
"taste",0.11
"usually",0.11
"among",0.1
"ask",0.1
"beer",0.1
"cheap",0.1
"cheaper",0.1
"cooking",0.1
"curries",0.1
"curry",0.1
"dance",0.1
"eaten",0.1
"english",0.1
"even",0.1
"expensive",0.1
"floor",0.1
"make",0.1
"mixed",0.1
"nice",0.1
"offer",0.1
"place",0.1
"price",0.1
"quality",0.1
"quite",0.1
"rooms",0.1
"salads",0.1
"served",0.1
"simple",0.1
"vegetable",0.1
"vegetables",0.1
"'re",0.09
"bars",0.09
"bit",0.09
"chinese",0.09
"cocktails",0.09
"cost",0.09
"decent",0.09
"desserts",0.09
"dinner",0.09
"drink",0.09
"drivers",0.09
"eat",0.09
"european",0.09
"foreign",0.09
"free",0.09
"front",0.09
"generally",0.09
"internet",0.09
"lamb",0.09
"might",0.09
"modern",0.09
"night",0.09
"noodles",0.09
"offers",0.09
"often",0.09
"order",0.09
"pizzas",0.09
"popular",0.09
"range",0.09
"raw",0.09
"reasonable",0.09
"roasted",0.09
"room",0.09
"sauce",0.09
"seating",0.09
"staple",0.09
"sure",0.09
"taxi",0.09
"want",0.09
"well",0.09
"'ll",0.08
"'s",0.08
"almost",0.08
"always",0.08
"another",0.08
"asian",0.08
"atmosphere",0.08
"avoid",0.08
"bar",0.08
"beers",0.08
"best",0.08
"better",0.08
"boiled",0.08
"book",0.08
"bread",0.08
"building",0.08
"buy",0.08
"card",0.08
"cards",0.08
"charge",0.08
"cheapest",0.08
"choice",0.08
"choose",0.08
"clean",0.08
"coconut",0.08
"coffee",0.08
"cold",0.08
"common",0.08
"costs",0.08
"courses",0.08
"courtyard",0.08
"culinary",0.08
"customers",0.08
"dessert",0.08
"driver",0.08
"exchange",0.08
"fare",0.08
"feel",0.08
"fermented",0.08
"found",0.08
"fruit",0.08
"garlic",0.08
"give",0.08
"great",0.08
"happy",0.08
"highly",0.08
"hot",0.08
"hotel",0.08
"inside",0.08
"items",0.08
"kind",0.08
"local",0.08
"locals",0.08
"look",0.08
"mains",0.08
"meals",0.08
"meats",0.08
"money",0.08
"music",0.08
"offering",0.08
"outside",0.08
"pastas",0.08
"per",0.08
"places",0.08
"plate",0.08
"red",0.08
"salad",0.08
"sandwiches",0.08
"shrimp",0.08
"sometimes",0.08
"special",0.08
"stalls",0.08
"standard",0.08
"steamed",0.08
"sushi",0.08
"taxis",0.08
"tend",0.08
"terrace",0.08
"thai",0.08
"ticket",0.08
"types",0.08
"use",0.08
"various",0.08
"vietnamese",0.08
"wide",0.08
"without",0.08
"amazing",0.07
"appetizers",0.07
"available",0.07
"budget",0.07
"buffet",0.07
"corner",0.07
"creative",0.07
"crowded",0.07
"depending",0.07
"difficult",0.07
"duck",0.07
"eating",0.07
"expect",0.07
"extra",0.07
"foreigners",0.07
"french",0.07
"full",0.07
"imported",0.07
"large",0.07
"list",0.07
"little",0.07
"location",0.07
"next",0.07
"open",0.07
"opened",0.07
"ordered",0.07
"packed",0.07
"plus",0.07
"pool",0.07
"prepare",0.07
"priced",0.07
"rate",0.07
"rather",0.07
"recipes",0.07
"relaxed",0.07
"rooftop",0.07
"sell",0.07
"shopping",0.07
"tastes",0.07
"tender",0.07
"tickets",0.07
"typically",0.07
"university",0.07
"used",0.07
"varieties",0.07
"veggie",0.07
"visa",0.07
"wifi",0.07
"wines",0.07
"worth",0.07
"wrapped",0.07
"young",0.07
