"","trying"
"avoid",0.12
"drivers",0.12
"always",0.11
"expensive",0.11
"money",0.11
"pay",0.11
"sure",0.11
"asking",0.1
"currency",0.1
"driver",0.1
"even",0.1
"hard",0.1
"illegal",0.1
"much",0.1
"often",0.1
"paying",0.1
"police",0.1
"polite",0.1
"try",0.1
"usually",0.1
"wait",0.1
"without",0.1
"'re",0.09
"amount",0.09
"ask",0.09
"card",0.09
"cards",0.09
"careful",0.09
"cheap",0.09
"common",0.09
"countries",0.09
"especially",0.09
"far",0.09
"foreigners",0.09
"generally",0.09
"insist",0.09
"know",0.09
"least",0.09
"leave",0.09
"locals",0.09
"make",0.09
"may",0.09
"mind",0.09
"ongoing",0.09
"safe",0.09
"sell",0.09
"sometimes",0.09
"tipping",0.09
"tourists",0.09
"unless",0.09
"use",0.09
"will",0.09
"able",0.08
"accept",0.08
"although",0.08
"bars",0.08
"better",0.08
"beware",0.08
"bother",0.08
"buying",0.08
"cheaper",0.08
"clubs",0.08
"consider",0.08
"exchange",0.08
"feel",0.08
"fighting",0.08
"find",0.08
"foreign",0.08
"gain",0.08
"get",0.08
"getting",0.08
"give",0.08
"help",0.08
"keep",0.08
"like",0.08
"likely",0.08
"might",0.08
"normally",0.08
"official",0.08
"passport",0.08
"people",0.08
"prepaid",0.08
"price",0.08
"prices",0.08
"process",0.08
"rarely",0.08
"security",0.08
"similar",0.08
"someone",0.08
"speak",0.08
"taxi",0.08
"taxis",0.08
"touts",0.08
"travel",0.08
"visa",0.08
"visas",0.08
"want",0.08
"wary",0.08
"widely",0.08
"worth",0.08
"almost",0.07
"aware",0.07
"bit",0.07
"buy",0.07
"charge",0.07
"cheapest",0.07
"control",0.07
"cost",0.07
"difficult",0.07
"drinking",0.07
"embassy",0.07
"expect",0.07
"extremely",0.07
"fill",0.07
"leaving",0.07
"men",0.07
"need",0.07
"negotiate",0.07
"numbers",0.07
"offer",0.07
"outside",0.07
"problem",0.07
"problems",0.07
"remember",0.07
"risk",0.07
"sensitive",0.07
"tend",0.07
"think",0.07
"time",0.07
"uses",0.07
"wearing",0.07
"women",0.07
