"","west"
"east",0.3
"miles",0.2
"south",0.2
"'''west",0.19
"north",0.19
"county",0.14
"downtown",0.14
"highway",0.14
"inn",0.14
"phone",0.14
"street",0.14
"interstate",0.13
"ave",0.12
"avenue",0.12
"st",0.12
"western",0.12
"mile",0.11
"park",0.11
"runs",0.11
"us",0.11
"american",0.1
"exit",0.1
"state",0.1
"amtrak",0.09
"blvd",0.09
"coast",0.09
"historic",0.09
"motel",0.09
"ohio",0.09
"rd",0.09
"route",0.09
"southwest",0.09
"virginia",0.09
"brewing",0.08
"creek",0.08
"dr",0.08
"drive",0.08
"east-west",0.08
"exits",0.08
"home",0.08
"hwy",0.08
"national",0.08
"service",0.08
"trail",0.08
"united",0.08
"acres",0.07
"country",0.07
"features",0.07
"greyhound",0.07
"grill",0.07
"northeast",0.07
"northwest",0.07
"railroad",0.07
"side",0.07
