"","exit"
"onto",0.21
"interstate",0.2
"follow",0.17
"exits",0.16
"inn",0.16
"take",0.16
"turn",0.16
"phone",0.15
"left",0.13
"merge",0.13
"miles",0.13
"right",0.13
"route",0.13
"ave",0.12
"downtown",0.12
"parkway",0.12
"street",0.12
"continue",0.11
"county",0.11
"north",0.11
"signs",0.11
"st",0.11
"dr",0.1
"east",0.1
"highway",0.1
"indoor",0.1
"mall",0.1
"rd",0.1
"toward",0.1
"turnpike",0.1
"west",0.1
"york",0.1
"avenue",0.09
"blvd",0.09
"boston",0.09
"center",0.09
"ny",0.09
"retail",0.09
"south",0.09
"state",0.09
"suites",0.09
"american",0.08
"business",0.08
"diner",0.08
"drive",0.08
"fitness",0.08
"free",0.08
"italian",0.08
"new",0.08
"pizza",0.08
"pkwy",0.08
"railroad",0.08
"shopping",0.08
"su",0.08
"transit",0.08
"amtrak",0.07
"dining",0.07
"features",0.07
"freeway",0.07
"grill",0.07
"grille",0.07
"marriott",0.07
"motel",0.07
"outdoor",0.07
"park",0.07
"parking",0.07
"ramp",0.07
"sushi",0.07
"washington",0.07
