"","catholic"
"church",0.26
"protestant",0.18
"roman",0.18
"baroque",0.17
"hungarian",0.15
"altar",0.14
"churches",0.14
"orthodox",0.13
"parish",0.12
"chapel",0.11
"gothic",0.11
"mary",0.11
"synagogue",0.11
"century",0.1
"christ",0.1
"church'''",0.1
"lady",0.1
"saint",0.1
"architect",0.09
"built",0.09
"cathedral",0.09
"facade",0.09
"jesus",0.09
"rebuilt",0.09
"religious",0.09
"virgin",0.09
"building",0.08
"designed",0.08
"elements",0.08
"exhibition",0.08
"jewish",0.08
"late",0.08
"monument",0.08
"pension",0.08
"tower",0.08
"became",0.07
"cultural",0.07
"elderly",0.07
"founded",0.07
"ireland",0.07
"nicholas",0.07
"preserves",0.07
