"","helpful"
"staff",0.21
"friendly",0.14
"rooms",0.13
"clean",0.12
"english",0.11
"owner",0.11
"rooftop",0.11
"ask",0.1
"budget",0.1
"help",0.1
"nice",0.1
"price",0.1
"try",0.1
"will",0.1
"cheap",0.09
"cost",0.09
"dorm",0.09
"driver",0.09
"drivers",0.09
"excellent",0.09
"free",0.09
"good",0.09
"guide",0.09
"internet",0.09
"know",0.09
"might",0.09
"money",0.09
"pay",0.09
"prices",0.09
"room",0.09
"sell",0.09
"always",0.08
"avoid",0.08
"bathroom",0.08
"bit",0.08
"book",0.08
"breakfast",0.08
"card",0.08
"costs",0.08
"double",0.08
"even",0.08
"exchange",0.08
"expensive",0.08
"food",0.08
"generally",0.08
"give",0.08
"hostel",0.08
"hot",0.08
"make",0.08
"need",0.08
"night",0.08
"offer",0.08
"often",0.08
"owners",0.08
"private",0.08
"reasonable",0.08
"ride",0.08
"speaks",0.08
"tickets",0.08
"travellers",0.08
"wi-fi",0.08
"wifi",0.08
"'ll",0.07
"arrange",0.07
"better",0.07
"block",0.07
"buy",0.07
"charge",0.07
"cheaper",0.07
"classes",0.07
"dorms",0.07
"extra",0.07
"extremely",0.07
"find",0.07
"laundry",0.07
"motorbike",0.07
"note",0.07
"per",0.07
"pick",0.07
"places",0.07
"provide",0.07
"quiet",0.07
"quite",0.07
"really",0.07
"selection",0.07
"shared",0.07
"speak",0.07
"sure",0.07
"tell",0.07
"tourist",0.07
"value",0.07
