"","rs"
"india",0.24
"rickshaw",0.23
"rickshaws",0.2
"temple",0.18
"indian",0.17
"stand",0.16
"hindu",0.14
"rulers",0.14
"delhi",0.12
"mumbai",0.12
"non",0.12
"raja",0.12
"temples",0.12
"ac",0.11
"attached",0.11
"bazaar",0.11
"bungalow",0.11
"deluxe",0.11
"hired",0.11
"km",0.11
"kms",0.11
"lord",0.11
"auto",0.1
"available",0.1
"charges",0.1
"reach",0.1
"connected",0.09
"guest",0.09
"jeep",0.09
"prepaid",0.09
"rooms",0.09
"shiva",0.09
"charge",0.08
"forts",0.08
"hailed",0.08
"monsoon",0.08
"nearest",0.08
"nh",0.08
"nominal",0.08
"noon",0.08
"ply",0.08
"sanctuary",0.08
"spice",0.08
"tamil",0.08
"vegetarian",0.08
"view",0.08
"believed",0.07
"book",0.07
"jetty",0.07
"meditation",0.07
"railway",0.07
"religious",0.07
"ruled",0.07
"sri",0.07
"stay",0.07
"temple'''",0.07
"till",0.07
"trek",0.07
"yoga",0.07
