"","gourmet"
"dining",0.16
"menu",0.14
"lunch",0.12
"dinner",0.11
"features",0.11
"homemade",0.11
"street",0.11
"breakfast",0.1
"casual",0.1
"classic",0.1
"coffee",0.1
"deli",0.1
"featuring",0.1
"great",0.1
"inn",0.1
"open",0.1
"restaurant",0.1
"selection",0.1
"wine",0.1
"bar",0.09
"cafe",0.09
"cream",0.09
"cuisine",0.09
"grill",0.09
"live",0.09
"music",0.09
"offers",0.09
"outdoor",0.09
"phone",0.09
"pizza",0.09
"sandwiches",0.09
"shop",0.09
"specials",0.09
"store",0.09
"suites",0.09
"upscale",0.09
"american",0.08
"art",0.08
"arts",0.08
"atmosphere",0.08
"ave",0.08
"baked",0.08
"bed",0.08
"delicious",0.08
"dinners",0.08
"favorite",0.08
"fine",0.08
"fresh",0.08
"friday",0.08
"full",0.08
"gift",0.08
"ice",0.08
"indoor",0.08
"italian",0.08
"organic",0.08
"patio",0.08
"rd",0.08
"salads",0.08
"saturday",0.08
"serving",0.08
"specialty",0.08
"vintage",0.08
"breakfasts",0.07
"chef",0.07
"downtown",0.07
"family",0.07
"free",0.07
"gallery",0.07
"monday",0.07
"st",0.07
"sunday",0.07
"variety",0.07
