"","featuring"
"features",0.21
"dining",0.16
"downtown",0.15
"inn",0.14
"outdoor",0.14
"arts",0.13
"casual",0.13
"live",0.13
"art",0.12
"eclectic",0.12
"indoor",0.12
"menu",0.12
"suites",0.12
"upscale",0.12
"american",0.11
"artists",0.11
"ave",0.11
"avenue",0.11
"bar",0.11
"dinner",0.11
"free",0.11
"gallery",0.11
"grill",0.11
"sandwiches",0.11
"street",0.11
"breakfast",0.1
"center",0.1
"convention",0.1
"dr",0.1
"favorite",0.1
"feature",0.1
"full",0.1
"gift",0.1
"gourmet",0.1
"historic",0.1
"homemade",0.1
"lunch",0.1
"mexican",0.1
"music",0.1
"offers",0.1
"open",0.1
"restaurant",0.1
"saturday",0.1
"selection",0.1
"sushi",0.1
"theater",0.1
"variety",0.1
"-site",0.09
"admission",0.09
"antique",0.09
"authentic",0.09
"blvd",0.09
"boutique",0.09
"classic",0.09
"cuisine",0.09
"exhibits",0.09
"fitness",0.09
"gifts",0.09
"golf",0.09
"home",0.09
"including",0.09
"mall",0.09
"musical",0.09
"park",0.09
"phone",0.09
"seating",0.09
"specialty",0.09
"st",0.09
"store",0.09
"symphony",0.09
"acres",0.08
"annual",0.08
"artisan",0.08
"baked",0.08
"baseball",0.08
"bistro",0.08
"business",0.08
"chain",0.08
"college",0.08
"delicious",0.08
"elegant",0.08
"featured",0.08
"festival",0.08
"fine",0.08
"fresh",0.08
"friday",0.08
"galleries",0.08
"includes",0.08
"lane",0.08
"lounge",0.08
"miles",0.08
"movie",0.08
"offering",0.08
"parking",0.08
"patio",0.08
"pizza",0.08
"rd",0.08
"roller",0.08
"seafood",0.08
"serving",0.08
"shop",0.08
"signature",0.08
"specials",0.08
"style",0.08
"su",0.08
"theatre",0.08
"throughout",0.08
"trendy",0.08
"unique",0.08
"university",0.08
"washington",0.08
"wine",0.08
"bands",0.07
"beers",0.07
"bookstore",0.07
"brunch",0.07
"burgers",0.07
"campus",0.07
"children's",0.07
"club",0.07
"community",0.07
"dance",0.07
"drive",0.07
"event",0.07
"events",0.07
"family",0.07
"flavors",0.07
"fun",0.07
"held",0.07
"hosts",0.07
"house",0.07
"include",0.07
"italian",0.07
"men's",0.07
"museum",0.07
"nightly",0.07
"original",0.07
"performing",0.07
"seasonal",0.07
"seniors",0.07
"shopping",0.07
"sports",0.07
"steak",0.07
"steakhouse",0.07
"theaters",0.07
"vegan",0.07
"weekend",0.07
