"","vendors"
"sell",0.17
"selling",0.16
"ask",0.12
"market",0.12
"prices",0.11
"always",0.1
"avoid",0.1
"booths",0.1
"driver",0.1
"expect",0.1
"food",0.1
"know",0.1
"money",0.1
"try",0.1
"vendor",0.1
"buy",0.09
"dollars",0.09
"drivers",0.09
"find",0.09
"fresh",0.09
"fried",0.09
"insist",0.09
"make",0.09
"often",0.09
"pay",0.09
"set",0.09
"sure",0.09
"usually",0.09
"will",0.09
"accept",0.08
"atms",0.08
"bags",0.08
"bargain",0.08
"better",0.08
"block",0.08
"bottled",0.08
"buying",0.08
"cost",0.08
"crowded",0.08
"drink",0.08
"drinks",0.08
"especially",0.08
"even",0.08
"exchange",0.08
"expensive",0.08
"help",0.08
"items",0.08
"locals",0.08
"markets",0.08
"may",0.08
"offer",0.08
"price",0.08
"security",0.08
"show",0.08
"sometimes",0.08
"stalls",0.08
"taxi",0.08
"taxis",0.08
"tropical",0.08
"variety",0.08
"want",0.08
"anywhere",0.07
"bargaining",0.07
"carry",0.07
"charge",0.07
"cheap",0.07
"cheaper",0.07
"clean",0.07
"currency",0.07
"every",0.07
"everything",0.07
"fare",0.07
"front",0.07
"fruit",0.07
"illegal",0.07
"keep",0.07
"likely",0.07
"mix",0.07
"purchase",0.07
"rate",0.07
"safe",0.07
"say",0.07
"sold",0.07
"tend",0.07
"typically",0.07
"various",0.07
"visa",0.07
"women",0.07
