"","german"
"germany",0.32
"germans",0.23
"der",0.17
"austrian",0.16
"polish",0.14
"von",0.14
"war",0.14
"beer",0.13
"berlin",0.13
"baroque",0.11
"european",0.11
"speak",0.11
"world",0.11
"gothic",0.1
"language",0.1
"medieval",0.1
"spoken",0.1
"dialect",0.09
"europe",0.09
"former",0.09
"tram",0.09
"valid",0.09
"annexed",0.08
"breweries",0.08
"brewery",0.08
"castles",0.08
"english",0.08
"hungarian",0.08
"jewish",0.08
"languages",0.08
"museum",0.08
"oldest",0.08
"part",0.08
"swiss",0.08
"today",0.08
"allied",0.07
"became",0.07
"christmas",0.07
"church",0.07
"connection",0.07
"czech",0.07
"dual",0.07
"history",0.07
"regional",0.07
"romantic",0.07
"smaller",0.07
"today's",0.07
"train",0.07
"trains",0.07
