"","oldest"
"built",0.16
"building",0.14
"church",0.14
"buildings",0.13
"surviving",0.13
"baroque",0.12
"founded",0.12
"historical",0.12
"history",0.12
"museum",0.12
"century",0.11
"dating",0.11
"first",0.11
"historic",0.11
"houses",0.11
"largest",0.11
"old",0.11
"one",0.11
"years",0.11
"art",0.1
"cathedral",0.1
"important",0.1
"original",0.1
"preserved",0.1
"still",0.1
"churches",0.09
"collection",0.09
"cultural",0.09
"dates",0.09
"european",0.09
"gothic",0.09
"house",0.09
"second",0.09
"university",0.09
"world",0.09
"became",0.08
"biggest",0.08
"brewery",0.08
"chapel",0.08
"city's",0.08
"famous",0.08
"former",0.08
"german",0.08
"hall",0.08
"later",0.08
"medieval",0.08
"modern",0.08
"music",0.08
"now",0.08
"part",0.08
"present",0.08
"protestant",0.08
"rebuilt",0.08
"since",0.08
"student",0.08
"today",0.08
"tower",0.08
"america's",0.07
"centuries",0.07
"europe",0.07
"fourth",0.07
"heritage",0.07
"holy",0.07
"religious",0.07
"restored",0.07
"square",0.07
"standing",0.07
"structure",0.07
"theatre",0.07
"used",0.07
"wooden",0.07
"year",0.07
