"","nights"
"friday",0.18
"live",0.17
"music",0.16
"saturday",0.15
"bar",0.14
"night",0.14
"crowd",0.12
"bands",0.11
"bars",0.11
"selection",0.11
"wednesday",0.11
"dance",0.1
"food",0.1
"menu",0.1
"open",0.1
"pub",0.1
"beer",0.09
"cafe",0.09
"club",0.09
"dj",0.09
"djs",0.09
"excellent",0.09
"free",0.09
"friendly",0.09
"great",0.09
"irish",0.09
"nightclub",0.09
"restaurant",0.09
"student",0.09
"students",0.09
"thursday",0.09
"always",0.08
"atmosphere",0.08
"beers",0.08
"cheap",0.08
"clubs",0.08
"days",0.08
"drink",0.08
"drinks",0.08
"every",0.08
"lively",0.08
"lounge",0.08
"lunch",0.08
"plays",0.08
"popular",0.08
"pubs",0.08
"screens",0.08
"serving",0.08
"tuesday",0.08
"university",0.08
"upstairs",0.08
"variety",0.08
"venue",0.08
"venues",0.08
"week",0.08
"band",0.07
"busy",0.07
"campus",0.07
"cocktails",0.07
"drunken",0.07
"evenings",0.07
"expect",0.07
"full",0.07
"fun",0.07
"gay",0.07
"good",0.07
"jazz",0.07
"karaoke",0.07
"offers",0.07
"performers",0.07
"pool",0.07
"prices",0.07
"quality",0.07
"range",0.07
"serves",0.07
"solo",0.07
"specials",0.07
"sports",0.07
"usually",0.07
