"","ask"
"driver",0.3
"will",0.24
"pay",0.21
"locals",0.2
"sure",0.2
"taxi",0.2
"cost",0.19
"drivers",0.19
"find",0.19
"get",0.19
"know",0.19
"price",0.19
"try",0.19
"go",0.18
"make",0.18
"may",0.18
"money",0.18
"usually",0.18
"want",0.18
"expensive",0.17
"leave",0.17
"prices",0.17
"someone",0.17
"tell",0.17
"always",0.16
"arrange",0.16
"avoid",0.16
"buy",0.16
"can",0.16
"cheap",0.16
"might",0.16
"need",0.16
"taxis",0.16
"'ll",0.15
"'re",0.15
"better",0.15
"charge",0.15
"even",0.15
"expect",0.15
"give",0.15
"look",0.15
"police",0.15
"sometimes",0.15
"wait",0.15
"without",0.15
"able",0.14
"accept",0.14
"asking",0.14
"costs",0.14
"exchange",0.14
"good",0.14
"help",0.14
"keep",0.14
"let",0.14
"negotiate",0.14
"passport",0.14
"paying",0.14
"per",0.14
"person",0.14
"sell",0.14
"take",0.14
"use",0.14
"'s",0.13
"another",0.13
"around",0.13
"asked",0.13
"cheaper",0.13
"clean",0.13
"common",0.13
"currency",0.13
"depending",0.13
"friendly",0.13
"going",0.13
"internet",0.13
"just",0.13
"least",0.13
"nice",0.13
"night",0.13
"offer",0.13
"often",0.13
"people",0.13
"probably",0.13
"ride",0.13
"safe",0.13
"say",0.13
"see",0.13
"staff",0.13
"stay",0.13
"trip",0.13
"visa",0.13
"walk",0.13
"women",0.13
"best",0.12
"bit",0.12
"budget",0.12
"card",0.12
"cards",0.12
"careful",0.12
"check",0.12
"different",0.12
"drop",0.12
"dropped",0.12
"english",0.12
"especially",0.12
"fixed",0.12
"food",0.12
"foreign",0.12
"guide",0.12
"hard",0.12
"idea",0.12
"leaving",0.12
"likely",0.12
"little",0.12
"much",0.12
"next",0.12
"option",0.12
"pick",0.12
"rate",0.12
"really",0.12
"rooms",0.12
"speak",0.12
"start",0.12
"staying",0.12
"vendors",0.12
"way",0.12
"anything",0.11
"anywhere",0.11
"atms",0.11
"aware",0.11
"back",0.11
"basic",0.11
"bring",0.11
"bus",0.11
"call",0.11
"carry",0.11
"cars",0.11
"cheapest",0.11
"come",0.11
"credit",0.11
"drink",0.11
"drinks",0.11
"extra",0.11
"fee",0.11
"foreigners",0.11
"generally",0.11
"getting",0.11
"higher",0.11
"like",0.11
"morning",0.11
"order",0.11
"owner",0.11
"possible",0.11
"prepared",0.11
"quite",0.11
"room",0.11
"serve",0.11
"shared",0.11
"ticket",0.11
"time",0.11
"unless",0.11
"advance",0.1
"agree",0.1
"almost",0.1
"anyone",0.1
"bargain",0.1
"beware",0.1
"big",0.1
"bottle",0.1
"buses",0.1
"buying",0.1
"day",0.1
"difficult",0.1
"dishes",0.1
"dollars",0.1
"double",0.1
"eat",0.1
"either",0.1
"ensure",0.1
"entrance",0.1
"fare",0.1
"feel",0.1
"front",0.1
"fruit",0.1
"happy",0.1
"helpful",0.1
"hotels",0.1
"illegal",0.1
